Date,Close,% Change,% Change vs Average,Volume
2024-04-06T22:00:00.000Z,"71,631.36",3.27,3.77,"37,261,432,669"
2024-04-07T22:00:00.000Z,"69,139.02",-3.48,-2.98,"36,426,900,409"
2024-04-08T22:00:00.000Z,"70,587.88",2.1,2.6,"38,318,601,774"
2024-04-09T22:00:00.000Z,"70,060.61",-0.75,-0.25,"30,153,382,941"
2024-04-10T22:00:00.000Z,"67,195.87",-4.09,-3.59,"44,129,299,406"
2024-04-11T22:00:00.000Z,"63,821.47",-5.02,-4.52,"52,869,738,185"
2024-04-12T22:00:00.000Z,"65,738.73",3,3.5,"49,084,320,047"
2024-04-13T22:00:00.000Z,"63,426.21",-3.52,-3.02,"43,595,917,654"
2024-04-14T22:00:00.000Z,"63,811.86",0.61,1.11,"42,847,528,078"
2024-04-15T22:00:00.000Z,"61,276.69",-3.97,-3.47,"41,915,247,049"
2024-04-16T22:00:00.000Z,"63,512.75",3.65,4.15,"36,006,307,335"
2024-04-17T22:00:00.000Z,"63,843.57",0.52,1.02,"49,920,425,401"
2024-04-18T22:00:00.000Z,"64,994.44",1.8,2.3,"23,097,485,495"
2024-04-19T22:00:00.000Z,"64,926.64",-0.1,0.4,"20,506,644,853"
2024-04-20T22:00:00.000Z,"66,837.68",2.94,3.44,"28,282,686,673"
2024-04-21T22:00:00.000Z,"66,407.27",-0.64,-0.14,"24,310,975,583"
2024-04-22T22:00:00.000Z,"64,276.90",-3.21,-2.71,"30,276,655,120"
2024-04-23T22:00:00.000Z,"64,481.71",0.32,0.82,"32,155,786,816"
2024-04-24T22:00:00.000Z,"63,755.32",-1.13,-0.63,"24,139,372,950"
2024-04-25T22:00:00.000Z,"63,419.14",-0.53,-0.03,"19,530,783,039"
2024-04-26T22:00:00.000Z,"63,113.23",-0.48,0.02,"17,334,827,993"
2024-04-27T22:00:00.000Z,"63,841.12",1.15,1.65,"26,635,912,073"
2024-04-28T22:00:00.000Z,"60,636.86",-5.02,-4.52,"37,840,840,057"
2024-04-29T22:00:00.000Z,"58,254.01",-3.93,-3.43,"48,439,780,271"
2024-04-30T22:00:00.000Z,"59,123.43",1.49,1.99,"32,711,813,559"
2024-05-01T22:00:00.000Z,"62,889.84",6.37,6.87,"33,172,023,048"
2024-05-02T22:00:00.000Z,"63,891.47",1.59,2.09,"20,620,477,992"
2024-05-03T22:00:00.000Z,"64,031.13",0.22,0.72,"18,296,164,805"
2024-05-04T22:00:00.000Z,"63,161.95",-1.36,-0.86,"28,697,928,697"
2024-05-05T22:00:00.000Z,"62,334.82",-1.31,-0.81,"25,930,730,982"
2024-05-06T22:00:00.000Z,"61,187.94",-1.84,-1.34,"26,088,172,222"
2024-05-07T22:00:00.000Z,"63,049.96",3.04,3.54,"25,453,338,161"
2024-05-08T22:00:00.000Z,"60,792.78",-3.58,-3.08,"27,804,954,694"
2024-05-09T22:00:00.000Z,"60,793.71",0,0.5,"13,842,272,968"
2024-05-10T22:00:00.000Z,"61,448.39",1.08,1.58,"13,800,459,405"
2024-05-11T22:00:00.000Z,"62,901.45",2.36,2.86,"27,889,181,179"
2024-05-12T22:00:00.000Z,"61,552.79",-2.14,-1.64,"28,186,271,527"
2024-05-13T22:00:00.000Z,"66,267.49",7.66,8.16,"39,815,167,074"
2024-05-14T22:00:00.000Z,"65,231.58",-1.56,-1.06,"31,573,077,994"
2024-05-15T22:00:00.000Z,"67,051.88",2.79,3.29,"28,031,279,310"
2024-05-16T22:00:00.000Z,"66,940.80",-0.17,0.33,"16,712,277,406"
2024-05-17T22:00:00.000Z,"66,278.37",-0.99,-0.49,"19,249,094,538"
2024-05-18T22:00:00.000Z,"71,448.20",7.8,8.3,"43,850,655,717"
2024-05-19T22:00:00.000Z,"70,136.53",-1.84,-1.34,"46,932,005,990"
2024-05-20T22:00:00.000Z,"69,122.34",-1.45,-0.95,"32,802,561,717"
2024-05-21T22:00:00.000Z,"67,929.56",-1.73,-1.23,"41,895,680,979"
2024-05-22T22:00:00.000Z,"68,526.10",0.88,1.38,"29,197,308,153"
2024-05-23T22:00:00.000Z,"69,265.95",1.08,1.58,"15,473,071,741"
2024-05-24T22:00:00.000Z,"68,518.09",-1.08,-0.58,"15,628,433,737"
2024-05-25T22:00:00.000Z,"69,394.55",1.28,1.78,"25,870,990,717"
2024-05-26T22:00:00.000Z,"68,296.22",-1.58,-1.08,"32,722,265,965"
2024-05-27T22:00:00.000Z,"67,578.09",-1.05,-0.55,"26,707,072,906"
2024-05-28T22:00:00.000Z,"68,364.99",1.16,1.66,"29,509,712,534"
2024-05-29T22:00:00.000Z,"67,491.41",-1.28,-0.78,"27,387,283,769"
2024-05-30T22:00:00.000Z,"67,706.94",0.32,0.82,"11,641,495,604"
2024-05-31T22:00:00.000Z,"67,751.60",0.07,0.57,"17,110,588,415"
2024-06-01T22:00:00.000Z,"68,804.78",1.55,2.05,"32,401,285,324"
2024-06-02T22:00:00.000Z,"70,567.77",2.56,3.06,"33,149,696,545"
2024-06-03T22:00:00.000Z,"71,082.82",0.73,1.23,"32,810,771,409"
2024-06-04T22:00:00.000Z,"70,757.16",-0.46,0.04,"25,223,152,007"
2024-06-05T22:00:00.000Z,"69,342.59",-2,-1.5,"36,188,381,096"
2024-06-06T22:00:00.000Z,"69,305.77",-0.05,0.45,"14,262,185,861"
2024-06-07T22:00:00.000Z,"69,647.99",0.49,0.99,"13,534,028,500"
2024-06-08T22:00:00.000Z,"69,512.28",-0.19,0.31,"20,597,699,541"
2024-06-09T22:00:00.000Z,"67,332.03",-3.14,-2.64,"37,116,136,345"
2024-06-10T22:00:00.000Z,"68,241.19",1.35,1.85,"34,497,940,694"
2024-06-11T22:00:00.000Z,"66,756.40",-2.18,-1.68,"28,955,204,146"
2024-06-12T22:00:00.000Z,"66,011.09",-1.12,-0.62,"27,403,884,779"
2024-06-13T22:00:00.000Z,"66,191.00",0.27,0.77,"14,121,265,576"
2024-06-14T22:00:00.000Z,"66,639.05",0.68,1.18,"13,281,140,541"
2024-06-15T22:00:00.000Z,"66,490.30",-0.22,0.28,"30,006,354,476"
2024-06-16T22:00:00.000Z,"65,140.75",-2.03,-1.53,"39,481,285,950"
2024-06-17T22:00:00.000Z,"64,960.30",-0.28,0.22,"21,103,423,504"
2024-06-18T22:00:00.000Z,"64,828.66",-0.2,0.3,"25,641,109,124"
2024-06-19T22:00:00.000Z,"64,096.20",-1.13,-0.63,"26,188,171,739"
2024-06-20T22:00:00.000Z,"64,252.58",0.24,0.74,"9,858,198,793"
2024-06-21T22:00:00.000Z,"63,180.80",-1.67,-1.17,"11,170,471,802"
2024-06-22T22:00:00.000Z,"60,277.41",-4.6,-4.1,"43,152,133,651"
2024-06-23T22:00:00.000Z,"61,804.64",2.53,3.03,"29,201,215,431"
2024-06-24T22:00:00.000Z,"60,811.28",-1.61,-1.11,"22,506,003,064"
2024-06-25T22:00:00.000Z,"61,604.80",1.3,1.81,"21,231,745,045"
2024-06-26T22:00:00.000Z,"60,320.14",-2.09,-1.59,"24,952,866,877"
2024-06-27T22:00:00.000Z,"60,887.38",0.94,1.44,"12,652,903,396"
2024-06-28T22:00:00.000Z,"62,678.29",2.94,3.44,"17,333,226,409"
2024-06-29T22:00:00.000Z,"62,851.98",0.28,0.78,"25,468,379,421"
2024-06-30T22:00:00.000Z,"62,029.02",-1.31,-0.81,"20,151,616,992"
2024-07-01T22:00:00.000Z,"60,173.92",-2.99,-2.49,"29,756,701,685"
2024-07-02T22:00:00.000Z,"56,977.70",-5.31,-4.81,"41,149,609,230"
2024-07-03T22:00:00.000Z,"56,662.38",-0.55,-0.05,"55,417,544,033"
2024-07-04T22:00:00.000Z,"58,303.54",2.9,3.4,"20,610,320,577"
2024-07-05T22:00:00.000Z,"55,849.11",-4.21,-3.71,"20,553,359,505"
2024-07-06T22:00:00.000Z,"56,705.10",1.53,2.03,"39,766,159,899"
2024-07-07T22:00:00.000Z,"58,009.23",2.3,2.8,"27,849,512,607"
