"Date","Close","% Change","% Change vs Average","Volume"
"2024-03-13T23:00:00.000Z","23.47","-0.89","-1.11","3,246,815"
"2024-03-14T23:00:00.000Z","23.73","1.11","0.88","6,679,280"
"2024-03-17T23:00:00.000Z","23.71","-0.08","-0.31","2,871,179"
"2024-03-18T23:00:00.000Z","24.03","1.35","1.13","3,723,131"
"2024-03-19T23:00:00.000Z","24.07","0.17","-0.06","1,899,346"
"2024-03-20T23:00:00.000Z","24.48","1.70","1.48","4,181,044"
"2024-03-21T23:00:00.000Z","24.52","0.18","-0.04","3,441,357"
"2024-03-24T23:00:00.000Z","24.06","-1.90","-2.12","2,848,157"
"2024-03-25T23:00:00.000Z","24.24","0.75","0.52","3,047,775"
"2024-03-26T23:00:00.000Z","24.25","0.02","-0.20","2,430,928"
"2024-03-27T23:00:00.000Z","24.81","2.33","2.11","4,643,755"
"2024-04-01T22:00:00.000Z","24.80","-0.04","-0.26","3,187,430"
"2024-04-02T22:00:00.000Z","25.26","1.85","1.63","3,657,788"
"2024-04-03T22:00:00.000Z","25.51","0.99","0.77","3,155,434"
"2024-04-04T22:00:00.000Z","25.06","-1.78","-2.01","3,173,611"
"2024-04-07T22:00:00.000Z","25.09","0.14","-0.08","1,809,724"
"2024-04-08T22:00:00.000Z","24.97","-0.48","-0.70","1,614,018"
"2024-04-09T22:00:00.000Z","25.15","0.72","0.50","2,193,367"
"2024-04-10T22:00:00.000Z","25.23","0.32","0.09","5,271,329"
"2024-04-11T22:00:00.000Z","25.76","2.10","1.88","6,436,122"
"2024-04-14T22:00:00.000Z","24.98","-3.05","-3.27","4,343,352"
"2024-04-15T22:00:00.000Z","24.33","-2.58","-2.81","4,854,902"
"2024-04-16T22:00:00.000Z","24.16","-0.70","-0.92","4,453,750"
"2024-04-17T22:00:00.000Z","24.71","2.28","2.05","2,728,222"
"2024-04-18T22:00:00.000Z","24.75","0.16","-0.06","2,398,321"
"2024-04-21T22:00:00.000Z","25.05","1.21","0.99","2,626,394"
"2024-04-22T22:00:00.000Z","25.39","1.36","1.13","2,574,778"
