"Date","Close","% Change","% Change vs Average","Volume"
"2025-02-15T00:00:00.000Z","97,386.98","-0.14","-0.12","147,699,712"
"2025-02-15T00:30:00.000Z","97,457.21","0.07","0.09","853,555,200"
"2025-02-15T01:00:00.000Z","97,689.58","0.24","0.26","1,102,567,424"
"2025-02-15T01:30:00.000Z","97,812.97","0.13","0.14","12,859,392"
"2025-02-15T02:00:00.000Z","97,730.60","-0.08","-0.07","700,633,088"
"2025-02-15T02:30:00.000Z","97,839.38","0.11","0.13","825,659,392"
"2025-02-15T03:00:00.000Z","97,834.27","-0.01","0.01","830,840,832"
"2025-02-15T03:30:00.000Z","97,699.73","-0.14","-0.12","814,802,944"
"2025-02-15T04:00:00.000Z","97,724.19","0.03","0.04","798,898,176"
"2025-02-15T04:30:00.000Z","97,509.30","-0.22","-0.20","877,766,656"
"2025-02-15T05:00:00.000Z","97,574.13","0.07","0.08","368,711,680"
"2025-02-15T05:30:00.000Z","97,602.20","0.03","0.05","264,177,664"
"2025-02-15T06:00:00.000Z","97,640.12","0.04","0.06","754,118,656"
"2025-02-15T06:30:00.000Z","97,488.20","-0.16","-0.14","774,838,272"
"2025-02-15T07:00:00.000Z","97,457.05","-0.03","-0.01","713,824,256"
"2025-02-15T07:30:00.000Z","97,391.67","-0.07","-0.05","853,825,536"
"2025-02-15T08:00:00.000Z","97,497.34","0.11","0.13","1,660,315,648"
"2025-02-15T08:30:00.000Z","97,521.63","0.02","0.04","1,492,142,080"
"2025-02-15T09:00:00.000Z","97,479.55","-0.04","-0.02","1,522,421,760"
"2025-02-15T09:30:00.000Z","97,559.70","0.08","0.10","719,992,832"
"2025-02-15T10:00:00.000Z","97,562.55","0","0.02","734,836,736"
"2025-02-15T10:30:00.000Z","97,694.23","0.13","0.15","879,775,744"
"2025-02-15T11:00:00.000Z","97,593.58","-0.10","-0.08","1,500,229,632"
"2025-02-15T11:30:00.000Z","97,623.08","0.03","0.05","56,997,888"
"2025-02-15T12:00:00.000Z","97,664.04","0.04","0.06","0"
"2025-02-15T12:30:00.000Z","97,779.93","0.12","0.14","957,040,640"
"2025-02-15T13:00:00.000Z","97,782.91","0","0.02","1,559,218,176"
"2025-02-15T13:30:00.000Z","97,758.67","-0.02","-0.01","138,381,312"
"2025-02-15T14:00:00.000Z","97,591.72","-0.17","-0.15","2,943,195,136"
"2025-02-15T14:30:00.000Z","97,621.98","0.03","0.05","1,408,182,272"
"2025-02-15T15:00:00.000Z","97,628.88","0.01","0.03","1,052,522,496"
"2025-02-15T15:30:00.000Z","97,640.99","0.01","0.03","707,915,776"
"2025-02-15T16:00:00.000Z","97,592.43","-0.05","-0.03","666,425,344"
"2025-02-15T16:30:00.000Z","97,533.25","-0.06","-0.04","2,027,476,992"
"2025-02-15T17:00:00.000Z","97,412.44","-0.12","-0.11","168,136,704"
"2025-02-15T17:30:00.000Z","97,403.12","-0.01","0.01","668,913,664"
"2025-02-15T18:00:00.000Z","97,475.48","0.07","0.09","602,638,336"
"2025-02-15T18:30:00.000Z","97,554.23","0.08","0.10","732,280,832"
"2025-02-15T19:00:00.000Z","97,650.48","0.10","0.12","622,125,056"
"2025-02-15T19:30:00.000Z","97,574.13","-0.08","-0.06","635,027,456"
"2025-02-15T20:00:00.000Z","97,576.41","0","0.02","589,150,208"
"2025-02-15T20:30:00.000Z","97,521.48","-0.06","-0.04","1,641,340,928"
"2025-02-15T21:00:00.000Z","97,643.65","0.13","0.14","534,710,272"
"2025-02-15T21:30:00.000Z","97,673.30","0.03","0.05","808,670,208"
"2025-02-15T22:00:00.000Z","97,526.56","-0.15","-0.13","1,409,292,288"
"2025-02-15T22:30:00.000Z","97,531.11","0","0.02","2,274,756,608"
"2025-02-15T23:00:00.000Z","97,608.11","0.08","0.10","979,214,336"
"2025-02-15T23:30:00.000Z","97,579.47","-0.03","-0.01","808,066,048"
"2025-02-16T00:00:00.000Z","97,692.55","0.12","0.13","0"
"2025-02-16T00:30:00.000Z","97,626.84","-0.07","-0.05","718,318,592"
"2025-02-16T01:00:00.000Z","97,591.24","-0.04","-0.02","0"
"2025-02-16T01:30:00.000Z","97,659.62","0.07","0.09","0"
"2025-02-16T02:00:00.000Z","97,645.80","-0.01","0","776,925,184"
"2025-02-16T02:30:00.000Z","97,534.63","-0.11","-0.10","13,054,976"
"2025-02-16T03:00:00.000Z","97,497.42","-0.04","-0.02","62,298,112"
"2025-02-16T03:30:00.000Z","97,558.05","0.06","0.08","111,815,680"
"2025-02-16T04:00:00.000Z","97,515.91","-0.04","-0.02","1,534,429,184"
"2025-02-16T04:30:00.000Z","97,536.16","0.02","0.04","102,424,576"
"2025-02-16T05:00:00.000Z","97,521.25","-0.02","0","61,489,152"
"2025-02-16T05:30:00.000Z","97,618.99","0.10","0.12","58,619,904"
"2025-02-16T06:00:00.000Z","97,572.16","-0.05","-0.03","9,102,336"
"2025-02-16T06:30:00.000Z","97,500.89","-0.07","-0.05","192,587,776"
"2025-02-16T07:00:00.000Z","97,371.08","-0.13","-0.11","870,090,752"
"2025-02-16T07:30:00.000Z","97,243.63","-0.13","-0.11","1,550,958,592"
"2025-02-16T08:00:00.000Z","97,251.69","0.01","0.03","1,609,389,056"
