"Date","Close","% Change","% Change vs Average","Volume"
"2025-02-14T11:00:00.000Z","36.97","0.26","0.23","69,360"
"2025-02-14T11:30:00.000Z","36.98","0.04","0.02","96,168"
"2025-02-14T12:00:00.000Z","36.95","-0.08","-0.11","52,829"
"2025-02-14T12:30:00.000Z","37.01","0.16","0.14","75,496"
"2025-02-14T13:00:00.000Z","36.97","-0.09","-0.12","78,002"
"2025-02-14T13:30:00.000Z","36.89","-0.23","-0.25","53,316"
"2025-02-14T14:00:00.000Z","36.83","-0.15","-0.17","60,511"
"2025-02-14T14:30:00.000Z","36.97","0.37","0.34","87,799"
"2025-02-14T15:00:00.000Z","36.90","-0.19","-0.21","89,671"
"2025-02-14T15:30:00.000Z","36.97","0.19","0.17","64,036"
"2025-02-14T16:00:00.000Z","36.92","-0.12","-0.15","147,955"
"2025-02-17T08:00:00.000Z","37.24","0.85","0.83","65,616"
"2025-02-17T08:30:00.000Z","37.40","0.42","0.39","128,452"
"2025-02-17T09:00:00.000Z","37.42","0.07","0.04","140,947"
"2025-02-17T09:30:00.000Z","37.38","-0.09","-0.12","70,335"
"2025-02-17T10:00:00.000Z","37.47","0.24","0.22","86,969"
"2025-02-17T10:30:00.000Z","37.45","-0.07","-0.09","76,774"
"2025-02-17T11:00:00.000Z","37.40","-0.12","-0.14","54,444"
"2025-02-17T11:30:00.000Z","37.47","0.19","0.16","45,600"
"2025-02-17T12:00:00.000Z","37.48","0.01","-0.01","43,051"
"2025-02-17T12:30:00.000Z","37.51","0.08","0.06","68,158"
"2025-02-17T13:00:00.000Z","37.50","-0.03","-0.05","62,594"
"2025-02-17T13:30:00.000Z","37.43","-0.19","-0.21","59,271"
"2025-02-17T14:00:00.000Z","37.40","-0.08","-0.10","66,945"
"2025-02-17T14:30:00.000Z","37.37","-0.08","-0.10","83,282"
"2025-02-17T15:00:00.000Z","37.32","-0.13","-0.16","111,274"
"2025-02-17T15:30:00.000Z","37.14","-0.48","-0.51","132,091"
"2025-02-17T16:00:00.000Z","37.11","-0.08","-0.11","140,860"
"2025-02-18T08:00:00.000Z","37.47","0.98","0.96","130,532"
"2025-02-18T08:30:00.000Z","37.40","-0.19","-0.21","98,820"
"2025-02-18T09:00:00.000Z","37.29","-0.31","-0.33","90,892"
"2025-02-18T09:30:00.000Z","37.40","0.31","0.28","114,198"
"2025-02-18T10:00:00.000Z","37.45","0.12","0.10","95,487"
"2025-02-18T10:30:00.000Z","37.35","-0.27","-0.29","98,527"
"2025-02-18T11:00:00.000Z","37.40","0.13","0.11","76,823"
"2025-02-18T11:30:00.000Z","37.40","0","-0.02","58,717"
"2025-02-18T12:00:00.000Z","37.54","0.37","0.35","86,089"
"2025-02-18T12:30:00.000Z","37.41","-0.35","-0.37","141,822"
