"Date","Close","% Change","% Change vs Average","Volume"
"2025-02-21T14:30:00.000Z","139.95","-0.12","-0.06","31,959,168"
"2025-02-21T15:00:00.000Z","139.23","-0.51","-0.46","16,849,284"
"2025-02-21T15:30:00.000Z","139.49","0.19","0.24","13,064,206"
"2025-02-21T16:00:00.000Z","139.20","-0.21","-0.15","10,316,978"
"2025-02-21T16:30:00.000Z","139.26","0.04","0.10","6,492,212"
"2025-02-21T17:00:00.000Z","138.99","-0.19","-0.14","9,333,026"
"2025-02-21T17:30:00.000Z","137.75","-0.89","-0.84","10,516,795"
"2025-02-21T18:00:00.000Z","137.17","-0.42","-0.36","19,325,573"
"2025-02-21T18:30:00.000Z","137.19","0.01","0.07","11,589,033"
"2025-02-21T19:00:00.000Z","135.40","-1.31","-1.25","13,314,165"
"2025-02-21T19:30:00.000Z","135.11","-0.21","-0.15","17,506,100"
"2025-02-21T20:00:00.000Z","135.10","-0.01","0.05","12,879,559"
"2025-02-21T20:30:00.000Z","134.27","-0.61","-0.56","25,630,708"
"2025-02-24T14:30:00.000Z","134.68","0.31","0.36","44,790,295"
"2025-02-24T15:00:00.000Z","132.93","-1.30","-1.24","31,502,594"
"2025-02-24T15:30:00.000Z","132.03","-0.68","-0.62","21,895,737"
"2025-02-24T16:00:00.000Z","134.04","1.52","1.58","15,755,997"
"2025-02-24T16:30:00.000Z","134.24","0.15","0.21","14,196,778"
"2025-02-24T17:00:00.000Z","134.60","0.27","0.33","12,274,982"
"2025-02-24T17:30:00.000Z","134.45","-0.11","-0.05","7,763,822"
"2025-02-24T18:00:00.000Z","134.62","0.13","0.18","5,630,510"
"2025-02-24T18:30:00.000Z","134.07","-0.41","-0.35","6,209,460"
"2025-02-24T19:00:00.000Z","132.72","-1.01","-0.95","9,308,469"
"2025-02-24T19:30:00.000Z","132.62","-0.08","-0.02","7,408,789"
"2025-02-24T20:00:00.000Z","132.57","-0.03","0.02","10,784,850"
"2025-02-24T20:30:00.000Z","130.10","-1.86","-1.81","23,873,374"
"2025-02-25T14:30:00.000Z","127.60","-1.92","-1.86","52,580,823"
"2025-02-25T15:00:00.000Z","125.34","-1.77","-1.71","32,782,858"
"2025-02-25T15:30:00.000Z","126.54","0.96","1.02","22,902,042"
