"Date","Close","% Change","% Change vs Average","Volume"
"2025-03-11T23:00:00.000Z","82,986.73","-0.26","-0.26","0"
"2025-03-11T23:05:00.000Z","82,848.97","-0.17","-0.17","0"
"2025-03-11T23:10:00.000Z","82,842.70","-0.01","-0.01","177,111,040"
"2025-03-11T23:15:00.000Z","82,704.50","-0.17","-0.17","0"
"2025-03-11T23:20:00.000Z","82,704.73","0","0","23,814,144"
"2025-03-11T23:25:00.000Z","82,574.35","-0.16","-0.16","0"
"2025-03-11T23:30:00.000Z","82,615.35","0.05","0.05","611,573,760"
"2025-03-11T23:35:00.000Z","82,774.28","0.19","0.19","129,011,712"
"2025-03-11T23:40:00.000Z","82,801.41","0.03","0.03","0"
"2025-03-11T23:45:00.000Z","82,714.82","-0.10","-0.11","434,987,008"
"2025-03-11T23:50:00.000Z","82,809.20","0.11","0.11","0"
"2025-03-11T23:55:00.000Z","82,833.95","0.03","0.03","635,727,872"
"2025-03-12T00:00:00.000Z","82,785.95","-0.06","-0.06","0"
"2025-03-12T00:05:00.000Z","82,719.27","-0.08","-0.08","0"
"2025-03-12T00:10:00.000Z","82,752.30","0.04","0.04","0"
"2025-03-12T00:15:00.000Z","82,811.08","0.07","0.07","225,140,736"
"2025-03-12T00:20:00.000Z","82,757.99","-0.06","-0.06","0"
"2025-03-12T00:25:00.000Z","82,865.55","0.13","0.13","0"
"2025-03-12T00:30:00.000Z","83,100.29","0.28","0.28","0"
"2025-03-12T00:35:00.000Z","82,967.70","-0.16","-0.16","368,193,536"
"2025-03-12T00:40:00.000Z","82,700.57","-0.32","-0.32","0"
"2025-03-12T00:45:00.000Z","82,648.10","-0.06","-0.06","0"
"2025-03-12T00:50:00.000Z","82,759.95","0.14","0.13","172,486,656"
"2025-03-12T00:55:00.000Z","82,737.02","-0.03","-0.03","0"
"2025-03-12T01:00:00.000Z","82,916.66","0.22","0.22","0"
"2025-03-12T01:05:00.000Z","82,939.15","0.03","0.03","0"
"2025-03-12T01:10:00.000Z","82,994.01","0.07","0.07","0"
"2025-03-12T01:15:00.000Z","83,049.13","0.07","0.07","0"
"2025-03-12T01:20:00.000Z","83,085.60","0.04","0.04","0"
"2025-03-12T01:25:00.000Z","83,011.16","-0.09","-0.09","141,885,440"
"2025-03-12T01:30:00.000Z","83,068.00","0.07","0.07","0"
