"Date","Close","% Change","% Change vs Average","Volume"
"2025-03-13T08:33:00.000Z","39.56","-0.05","1.00","493"
"2025-03-13T08:34:00.000Z","39.56","0","1.05","808"
"2025-03-13T08:35:00.000Z","39.54","-0.06","0.98","955"
"2025-03-13T08:36:00.000Z","39.53","-0.01","1.03","1,737"
"2025-03-13T08:37:00.000Z","39.53","-0.03","1.02","4,071"
"2025-03-13T08:38:00.000Z","39.47","-0.15","0.89","2,647"
"2025-03-13T08:39:00.000Z","39.46","-0.03","1.02","2,192"
"2025-03-13T08:40:00.000Z","39.45","-0.01","1.03","4,227"
"2025-03-13T08:41:00.000Z","39.44","-0.03","1.02","3,226"
"2025-03-13T08:42:00.000Z","39.42","-0.05","1.00","7,023"
"2025-03-13T08:43:00.000Z","39.53","0.27","1.31","8,519"
"2025-03-13T08:44:00.000Z","39.58","0.15","1.20","4,824"
"2025-03-13T08:45:00.000Z","39.63","0.13","1.17","6,908"
"2025-03-13T08:46:00.000Z","39.65","0.04","1.08","810"
"2025-03-13T08:47:00.000Z","39.65","-0.01","1.03","456"
"2025-03-13T08:48:00.000Z","39.72","0.19","1.24","7,285"
"2025-03-13T08:49:00.000Z","39.72","-0.01","1.03","3,839"
"2025-03-13T08:50:00.000Z","39.74","0.08","1.12","1,678"
"2025-03-13T08:51:00.000Z","39.78","0.08","1.12","1,052"
"2025-03-13T08:52:00.000Z","39.78","0.03","1.07","308"
"2025-03-13T08:53:00.000Z","39.76","-0.05","1.00","1,911"
"2025-03-13T08:54:00.000Z","39.73","-0.09","0.96","1,114"
"2025-03-13T08:55:00.000Z","39.72","-0.04","1.01","6,186"
"2025-03-13T08:56:00.000Z","","-100.00","-98.95",""
"2025-03-13T08:57:00.000Z","39.77","0.14","1.19","9,189"
"2025-03-13T08:58:00.000Z","39.78","0.04","1.08","3,943"
"2025-03-13T08:59:00.000Z","39.78","0","1.05","109"
"2025-03-13T09:00:00.000Z","39.78","-0.03","1.02","1,242"
"2025-03-13T09:01:00.000Z","39.73","-0.11","0.93","4,984"
"2025-03-13T09:02:00.000Z","39.76","0.09","1.13","616"
"2025-03-13T09:03:00.000Z","39.72","-0.10","0.95","294"
"2025-03-13T09:04:00.000Z","39.72","-0.03","1.02","508"
"2025-03-13T09:05:00.000Z","39.72","0.03","1.07","65"
"2025-03-13T09:06:00.000Z","39.67","-0.14","0.91","1,038"
"2025-03-13T09:07:00.000Z","39.67","0","1.05","139"
"2025-03-13T09:08:00.000Z","39.72","0.11","1.16","984"
"2025-03-13T09:09:00.000Z","39.72","0.01","1.06","254"
"2025-03-13T09:10:00.000Z","39.79","0.18","1.22","765"
"2025-03-13T09:11:00.000Z","39.81","0.05","1.10","757"
"2025-03-13T09:12:00.000Z","39.78","-0.09","0.96","1,424"
"2025-03-13T09:13:00.000Z","39.78","0.01","1.06","394"
"2025-03-13T09:14:00.000Z","39.83","0.13","1.17","955"
"2025-03-13T09:15:00.000Z","39.85","0.05","1.10","3,220"
"2025-03-13T09:16:00.000Z","39.84","-0.03","1.02","2,632"
"2025-03-13T09:17:00.000Z","39.84","0","1.05","359"
"2025-03-13T09:18:00.000Z","39.85","0.03","1.07","6,111"
"2025-03-13T09:19:00.000Z","39.85","0","1.05","2,433"
"2025-03-13T09:20:00.000Z","39.85","-0.01","1.03","2,371"
"2025-03-13T09:21:00.000Z","39.87","0.05","1.10","2,157"
"2025-03-13T09:22:00.000Z","39.92","0.13","1.17","8,194"
"2025-03-13T09:23:00.000Z","39.92","0","1.05","1,823"
"2025-03-13T09:24:00.000Z","39.92","0.01","1.06","1,853"
"2025-03-13T09:25:00.000Z","39.91","-0.03","1.02","1,425"
"2025-03-13T09:26:00.000Z","39.93","0.05","1.10","1,681"
"2025-03-13T09:27:00.000Z","39.93","0","1.05","573"
"2025-03-13T09:28:00.000Z","39.92","-0.04","1.01","270"
"2025-03-13T09:29:00.000Z","39.91","-0.01","1.03","1,287"
"2025-03-13T09:30:00.000Z","39.92","0.04","1.08","552"
"2025-03-13T09:31:00.000Z","39.92","0","1.05","1"
"2025-03-13T09:32:00.000Z","39.94","0.04","1.08","2,942"
"2025-03-13T09:33:00.000Z","39.93","-0.03","1.02","3,947"
"2025-03-13T09:34:00.000Z","39.92","-0.03","1.02","43"
"2025-03-13T09:35:00.000Z","39.89","-0.08","0.97","1,614"
"2025-03-13T09:36:00.000Z","39.89","0","1.05","235"
"2025-03-13T09:37:00.000Z","39.90","0.03","1.07","482"
"2025-03-13T09:38:00.000Z","39.91","0.03","1.07","853"
"2025-03-13T09:39:00.000Z","39.90","-0.01","1.03","492"
"2025-03-13T09:40:00.000Z","39.92","0.05","1.10","2,907"
"2025-03-13T09:41:00.000Z","39.89","-0.09","0.96","197"
"2025-03-13T09:42:00.000Z","39.88","-0.03","1.02","1,535"
"2025-03-13T09:43:00.000Z","39.90","0.05","1.10","489"
"2025-03-13T09:44:00.000Z","39.93","0.08","1.12","998"
"2025-03-13T09:45:00.000Z","39.92","-0.04","1.01","259"
"2025-03-13T09:46:00.000Z","39.92","0.03","1.07","299"
"2025-03-13T09:47:00.000Z","39.92","0","1.05","556"
"2025-03-13T09:48:00.000Z","39.94","0.03","1.07","331"
"2025-03-13T09:49:00.000Z","39.88","-0.13","0.92","100"
"2025-03-13T09:50:00.000Z","39.90","0.04","1.08","370"
"2025-03-13T09:51:00.000Z","39.88","-0.04","1.01","1,290"
"2025-03-13T09:52:00.000Z","39.90","0.03","1.07","1,084"
"2025-03-13T09:53:00.000Z","39.89","-0.01","1.03","109"
"2025-03-13T09:54:00.000Z","39.90","0.04","1.08","499"
"2025-03-13T09:55:00.000Z","39.90","-0.01","1.03","1,323"
"2025-03-13T09:56:00.000Z","39.90","0","1.05","1,280"
"2025-03-13T09:57:00.000Z","39.90","0.01","1.06","467"
"2025-03-13T09:58:00.000Z","39.92","0.05","1.10","1,549"
"2025-03-13T09:59:00.000Z","39.94","0.03","1.07","2,307"
"2025-03-13T10:00:00.000Z","39.97","0.09","1.13","4,627"
"2025-03-13T10:01:00.000Z","39.96","-0.04","1.01","2,110"
"2025-03-13T10:02:00.000Z","39.93","-0.06","0.98","1,165"
"2025-03-13T10:03:00.000Z","39.90","-0.08","0.97","644"
"2025-03-13T10:04:00.000Z","39.92","0.04","1.08","1,468"
"2025-03-13T10:05:00.000Z","39.85","-0.16","0.88","4,689"
"2025-03-13T10:06:00.000Z","39.83","-0.06","0.98","16,999"
"2025-03-13T10:07:00.000Z","39.83","0.03","1.07","3,387"
"2025-03-13T10:08:00.000Z","39.83","-0.01","1.03","652"
"2025-03-13T10:09:00.000Z","39.80","-0.08","0.97","2,047"
"2025-03-13T10:10:00.000Z","39.85","0.13","1.17","6,385"
"2025-03-13T10:11:00.000Z","39.84","-0.03","1.02","1,713"
"2025-03-13T10:12:00.000Z","39.87","0.06","1.11","842"
"2025-03-13T10:13:00.000Z","39.85","-0.04","1.01","908"
"2025-03-13T10:14:00.000Z","39.85","0","1.05","787"
"2025-03-13T10:15:00.000Z","39.85","0.01","1.06","622"
"2025-03-13T10:16:00.000Z","39.82","-0.09","0.96","150"
"2025-03-13T10:17:00.000Z","39.83","0.01","1.06","133"
"2025-03-13T10:18:00.000Z","39.85","0.06","1.11","276"
"2025-03-13T10:19:00.000Z","39.86","0.03","1.07","111"
"2025-03-13T10:20:00.000Z","39.85","-0.04","1.01","218"
"2025-03-13T10:21:00.000Z","39.83","-0.05","1.00","1,945"
"2025-03-13T10:22:00.000Z","39.87","0.10","1.15","9,562"
"2025-03-13T10:23:00.000Z","39.85","-0.04","1.01","815"
"2025-03-13T10:24:00.000Z","39.85","0","1.05","385"
"2025-03-13T10:25:00.000Z","39.89","0.10","1.15","3,080"
"2025-03-13T10:26:00.000Z","39.90","0.03","1.07","8,259"
"2025-03-13T10:27:00.000Z","39.88","-0.04","1.01","394"
"2025-03-13T10:28:00.000Z","39.92","0.08","1.12","1,143"
"2025-03-13T10:29:00.000Z","39.92","0.03","1.07","1,620"
"2025-03-13T10:30:00.000Z","39.94","0.05","1.10","710"
"2025-03-13T10:31:00.000Z","39.95","0.01","1.06","1,554"
"2025-03-13T10:32:00.000Z","39.94","-0.04","1.01","7,041"
"2025-03-13T10:33:00.000Z","39.93","-0.01","1.03","58"
"2025-03-13T10:34:00.000Z","39.92","-0.03","1.02","1,024"
"2025-03-13T10:35:00.000Z","39.92","-0.01","1.03","7,602"
"2025-03-13T10:36:00.000Z","39.94","0.06","1.11","3,621"
"2025-03-13T10:37:00.000Z","39.94","0","1.05","1,940"
"2025-03-13T10:38:00.000Z","39.94","-0.01","1.03","1,255"
"2025-03-13T10:39:00.000Z","39.94","0.03","1.07","18"
"2025-03-13T10:40:00.000Z","39.98","0.09","1.13","3,003"
"2025-03-13T10:41:00.000Z","39.99","0.04","1.08","4,545"
"2025-03-13T10:42:00.000Z","40.00","0.01","1.06","27,811"
"2025-03-13T10:43:00.000Z","39.98","-0.05","1.00","1,231"
"2025-03-13T10:44:00.000Z","39.96","-0.06","0.98","1,754"
"2025-03-13T10:45:00.000Z","39.95","-0.01","1.03","275"
"2025-03-13T10:46:00.000Z","39.94","-0.01","1.03","877"
"2025-03-13T10:47:00.000Z","39.95","0.01","1.06","741"
"2025-03-13T10:48:00.000Z","39.93","-0.05","1.00","201"
"2025-03-13T10:49:00.000Z","39.94","0.04","1.08","258"
"2025-03-13T10:50:00.000Z","39.94","-0.01","1.03","68"
"2025-03-13T10:51:00.000Z","39.93","-0.03","1.02","1,519"
"2025-03-13T10:52:00.000Z","39.92","-0.04","1.01","145"
"2025-03-13T10:53:00.000Z","39.90","-0.04","1.01","612"
"2025-03-13T10:54:00.000Z","39.92","0.04","1.08","860"
"2025-03-13T10:55:00.000Z","39.96","0.11","1.16","2,011"
"2025-03-13T10:56:00.000Z","39.97","0.03","1.07","2,524"
"2025-03-13T10:57:00.000Z","39.92","-0.14","0.91","11,927"
"2025-03-13T10:58:00.000Z","39.95","0.09","1.13","1,773"
"2025-03-13T10:59:00.000Z","39.92","-0.08","0.97","3,222"
"2025-03-13T11:00:00.000Z","39.97","0.11","1.16","17,337"
"2025-03-13T11:01:00.000Z","39.97","0.03","1.07","1,054"
"2025-03-13T11:02:00.000Z","39.95","-0.06","0.98","1,619"
"2025-03-13T11:03:00.000Z","39.97","0.05","1.10","884"
"2025-03-13T11:04:00.000Z","40.00","0.08","1.12","152"
"2025-03-13T11:05:00.000Z","39.97","-0.07","0.97","302"
"2025-03-13T11:06:00.000Z","39.99","0.06","1.11","3,071"
"2025-03-13T11:07:00.000Z","39.98","-0.04","1.01","370"
"2025-03-13T11:08:00.000Z","39.99","0.01","1.06","386"
"2025-03-13T11:09:00.000Z","40.00","0.04","1.08","183"
"2025-03-13T11:10:00.000Z","40.00","0","1.05","1,594"
"2025-03-13T11:11:00.000Z","39.99","-0.04","1.01","1,960"
"2025-03-13T11:12:00.000Z","39.98","-0.01","1.03","684"
"2025-03-13T11:13:00.000Z","39.99","0.03","1.07","612"
"2025-03-13T11:14:00.000Z","39.97","-0.04","1.01","120"
"2025-03-13T11:15:00.000Z","39.94","-0.08","0.97","2,501"
"2025-03-13T11:16:00.000Z","39.94","-0.01","1.03","302"
"2025-03-13T11:17:00.000Z","39.91","-0.08","0.97","235"
"2025-03-13T11:18:00.000Z","","-100.00","-98.95",""
"2025-03-13T11:19:00.000Z","39.97","0.14","1.18","29,883"
"2025-03-13T11:20:00.000Z","39.90","-0.18","0.87","149"
"2025-03-13T11:21:00.000Z","39.96","0.16","1.21","2,373"
"2025-03-13T11:22:00.000Z","39.93","-0.08","0.97","2,023"
"2025-03-13T11:23:00.000Z","39.94","0.03","1.07","1,702"
"2025-03-13T11:24:00.000Z","39.96","0.05","1.10","2,918"
"2025-03-13T11:25:00.000Z","40.01","0.14","1.18","14,898"
"2025-03-13T11:26:00.000Z","40.03","0.04","1.08","6,010"
"2025-03-13T11:27:00.000Z","40.03","0.01","1.06","2,253"
"2025-03-13T11:28:00.000Z","40.03","-0.01","1.03","625"
"2025-03-13T11:29:00.000Z","40.08","0.12","1.17","1,267"
"2025-03-13T11:30:00.000Z","40.08","-0.01","1.03","1,353"
"2025-03-13T11:31:00.000Z","40.08","0","1.05","1,784"
"2025-03-13T11:32:00.000Z","40.08","0","1.05","911"
"2025-03-13T11:33:00.000Z","40.08","0.01","1.06","135"
"2025-03-13T11:34:00.000Z","40.12","0.09","1.13","2,353"
"2025-03-13T11:35:00.000Z","40.11","-0.01","1.03","2,483"
"2025-03-13T11:36:00.000Z","40.12","0.01","1.06","2,063"
"2025-03-13T11:37:00.000Z","40.10","-0.05","1.00","261"
"2025-03-13T11:38:00.000Z","40.08","-0.02","1.02","672"
"2025-03-13T11:39:00.000Z","40.08","-0.01","1.03","202"
"2025-03-13T11:40:00.000Z","40.08","-0.01","1.03","542"
"2025-03-13T11:41:00.000Z","40.13","0.14","1.18","1,219"
"2025-03-13T11:42:00.000Z","40.19","0.15","1.20","8,932"
"2025-03-13T11:43:00.000Z","40.19","-0.01","1.03","5,412"
"2025-03-13T11:44:00.000Z","40.12","-0.16","0.88","3,397"
"2025-03-13T11:45:00.000Z","40.12","-0.01","1.03","4,011"
"2025-03-13T11:46:00.000Z","40.10","-0.05","1.00","4,988"
"2025-03-13T11:47:00.000Z","40.12","0.06","1.11","7,329"
"2025-03-13T11:48:00.000Z","40.17","0.11","1.16","2,949"
"2025-03-13T11:49:00.000Z","40.21","0.10","1.15","2,810"
