"Date","Close","% Change","% Change vs Average","Volume"
"2025-03-18T13:30:00.000Z","117.53","-1.63","-1.63","14,926,866"
"2025-03-18T13:35:00.000Z","116.42","-0.94","-0.94","8,188,409"
"2025-03-18T13:40:00.000Z","115.78","-0.55","-0.55","6,940,152"
"2025-03-18T13:45:00.000Z","116.23","0.39","0.39","5,872,784"
"2025-03-18T13:50:00.000Z","115.95","-0.24","-0.24","4,996,850"
"2025-03-18T13:55:00.000Z","115.08","-0.75","-0.75","7,656,013"
"2025-03-18T14:00:00.000Z","115.44","0.31","0.32","5,811,421"
"2025-03-18T14:05:00.000Z","115.61","0.14","0.15","4,004,284"
"2025-03-18T14:10:00.000Z","115.02","-0.51","-0.50","3,553,704"
"2025-03-18T14:15:00.000Z","115.14","0.10","0.11","2,995,854"
"2025-03-18T14:20:00.000Z","115.61","0.41","0.42","3,976,011"
"2025-03-18T14:25:00.000Z","115.84","0.19","0.20","3,368,884"
"2025-03-18T14:30:00.000Z","116.09","0.22","0.22","4,041,582"
"2025-03-18T14:35:00.000Z","116.20","0.10","0.10","3,107,247"
"2025-03-18T14:40:00.000Z","115.79","-0.35","-0.35","3,535,954"
"2025-03-18T14:45:00.000Z","115.74","-0.05","-0.04","2,530,424"
"2025-03-18T14:50:00.000Z","116.10","0.31","0.32","2,205,590"
"2025-03-18T14:55:00.000Z","116.28","0.16","0.16","2,347,291"
"2025-03-18T15:00:00.000Z","115.73","-0.48","-0.47","2,810,028"
"2025-03-18T15:05:00.000Z","115.69","-0.03","-0.02","2,139,286"
"2025-03-18T15:10:00.000Z","116.56","0.75","0.75","3,329,873"
"2025-03-18T15:15:00.000Z","116.76","0.18","0.18","3,193,170"
"2025-03-18T15:20:00.000Z","116.71","-0.05","-0.04","2,041,966"
"2025-03-18T15:25:00.000Z","116.75","0.04","0.04","2,259,622"
"2025-03-18T15:30:00.000Z","116.82","0.06","0.06","2,260,243"
"2025-03-18T15:35:00.000Z","116.97","0.13","0.13","2,287,887"
"2025-03-18T15:40:00.000Z","116.74","-0.20","-0.19","2,041,097"
"2025-03-18T15:45:00.000Z","116.71","-0.02","-0.02","1,595,521"
"2025-03-18T15:50:00.000Z","116.44","-0.24","-0.23","1,882,280"
"2025-03-18T15:55:00.000Z","116.42","-0.01","-0.01","2,271,261"
"2025-03-18T16:00:00.000Z","116.64","0.19","0.19","1,615,418"
"2025-03-18T16:05:00.000Z","116.83","0.16","0.17","1,709,896"
