"Date","Close","% Change","% Change vs Average","Volume"
"2015-05-30T22:00:00.000Z","263.07","14.28","7.11","629,780,200"
"2015-06-29T22:00:00.000Z","284.65","8.20","1.02","999,892,200"
"2015-07-30T22:00:00.000Z","230.06","-19.18","-26.36","905,192,300"
"2015-08-30T22:00:00.000Z","236.06","2.61","-4.57","603,623,900"
"2015-09-29T22:00:00.000Z","314.17","33.09","25.91","953,279,500"
"2015-10-30T23:00:00.000Z","377.32","20.10","12.92","2,177,623,396"
"2015-11-29T23:00:00.000Z","430.57","14.11","6.93","2,096,250,000"
"2015-12-30T23:00:00.000Z","368.77","-14.35","-21.53","1,990,880,304"
"2016-01-30T23:00:00.000Z","437.70","18.69","11.51","1,876,238,692"
"2016-02-28T23:00:00.000Z","416.73","-4.79","-11.97","2,332,852,776"
"2016-03-30T22:00:00.000Z","448.32","7.58","0.40","1,811,475,204"
"2016-04-29T22:00:00.000Z","531.39","18.53","11.35","2,234,432,796"
"2016-05-30T22:00:00.000Z","673.34","26.71","19.54","4,749,702,740"
"2016-06-29T22:00:00.000Z","624.68","-7.23","-14.40","3,454,186,204"
"2016-07-30T22:00:00.000Z","575.47","-7.88","-15.06","2,686,220,180"
"2016-08-30T22:00:00.000Z","609.73","5.95","-1.22","2,004,401,400"
"2016-09-29T22:00:00.000Z","700.97","14.96","7.79","2,115,443,796"
"2016-10-30T23:00:00.000Z","745.69","6.38","-0.80","2,635,773,092"
"2016-11-29T23:00:00.000Z","963.74","29.24","22.06","3,556,763,800"
"2016-12-30T23:00:00.000Z","970.40","0.69","-6.49","5,143,971,692"
"2017-01-30T23:00:00.000Z","1,179.97","21.60","14.42","4,282,761,200"
"2017-02-27T23:00:00.000Z","1,071.79","-9.17","-16.35","10,872,455,960"
"2017-03-30T22:00:00.000Z","1,347.89","25.76","18.58","9,757,448,112"
"2017-04-29T22:00:00.000Z","2,286.41","69.63","62.45","34,261,856,864"
"2017-05-30T22:00:00.000Z","2,480.84","8.50","1.33","44,478,140,928"
"2017-06-29T22:00:00.000Z","2,875.34","15.90","8.72","32,619,956,992"
"2017-07-30T22:00:00.000Z","4,703.39","63.58","56.40","63,548,016,640"
"2017-08-30T22:00:00.000Z","4,338.71","-7.75","-14.93","55,700,949,056"
"2017-09-29T22:00:00.000Z","6,468.40","49.09","41.91","58,009,357,952"
"2017-10-30T23:00:00.000Z","10,233.60","58.21","51.03","140,735,010,304"
"2017-11-29T23:00:00.000Z","14,156.40","38.33","31.15","410,336,495,104"
"2017-12-30T23:00:00.000Z","10,221.10","-27.80","-34.98","416,247,858,176"
"2018-01-30T23:00:00.000Z","10,397.90","1.73","-5.45","229,717,780,480"
"2018-02-27T23:00:00.000Z","6,973.53","-32.93","-40.11","193,751,709,184"
"2018-03-30T22:00:00.000Z","9,240.55","32.51","25.33","196,550,010,624"
"2018-04-29T22:00:00.000Z","7,494.17","-18.90","-26.08","197,611,709,696"
"2018-05-30T22:00:00.000Z","6,404.00","-14.55","-21.72","130,214,179,584"
"2018-06-29T22:00:00.000Z","7,780.44","21.49","14.32","141,441,939,792"
"2018-07-30T22:00:00.000Z","7,037.58","-9.55","-16.73","132,292,770,000"
"2018-08-30T22:00:00.000Z","6,625.56","-5.85","-13.03","129,745,370,000"
"2018-09-29T22:00:00.000Z","6,317.61","-4.65","-11.83","118,436,880,000"
"2018-10-30T23:00:00.000Z","4,017.27","-36.41","-43.59","158,359,524,484"
"2018-11-29T23:00:00.000Z","3,742.70","-6.83","-14.01","168,826,809,069"
"2018-12-30T23:00:00.000Z","3,457.79","-7.61","-14.79","167,335,706,864"
"2019-01-30T23:00:00.000Z","3,854.79","11.48","4.30","199,100,675,597"
"2019-02-27T23:00:00.000Z","4,105.40","6.50","-0.68","297,952,790,260"
"2019-03-30T23:00:00.000Z","5,350.73","30.33","23.16","445,364,556,718"
"2019-04-29T22:00:00.000Z","8,574.50","60.25","53.07","724,157,870,864"
"2019-05-30T22:00:00.000Z","10,817.16","26.15","18.98","675,855,385,074"
"2019-06-29T22:00:00.000Z","10,085.63","-6.76","-13.94","676,416,326,705"
"2019-07-30T22:00:00.000Z","9,630.66","-4.51","-11.69","533,984,971,734"
"2019-08-30T22:00:00.000Z","8,293.87","-13.88","-21.06","480,544,963,230"
"2019-09-29T22:00:00.000Z","9,199.58","10.92","3.74","595,205,134,748"
"2019-10-30T23:00:00.000Z","7,569.63","-17.72","-24.90","676,919,523,650"
"2019-11-29T23:00:00.000Z","7,193.60","-4.97","-12.15","633,790,373,416"
"2019-12-30T23:00:00.000Z","9,350.53","29.98","22.81","852,872,174,496"
"2020-01-30T23:00:00.000Z","8,599.51","-8.03","-15.21","1,163,376,492,768"
"2020-02-28T23:00:00.000Z","6,438.64","-25.13","-32.31","1,290,442,059,648"
"2020-03-30T22:00:00.000Z","8,658.55","34.48","27.30","1,156,127,164,831"
"2020-04-29T22:00:00.000Z","9,461.06","9.27","2.09","1,286,368,141,507"
"2020-05-30T22:00:00.000Z","9,137.99","-3.41","-10.59","650,913,318,680"
"2020-06-29T22:00:00.000Z","11,323.47","23.92","16.74","545,813,339,109"
"2020-07-30T22:00:00.000Z","11,680.82","3.16","-4.02","708,377,092,130"
"2020-08-30T22:00:00.000Z","10,784.49","-7.67","-14.85","1,075,949,438,431"
"2020-09-29T22:00:00.000Z","13,781.00","27.79","20.61","1,050,874,546,086"
"2020-10-30T23:00:00.000Z","19,625.84","42.41","35.23","1,093,144,913,227"
"2020-11-29T23:00:00.000Z","29,001.72","47.77","40.60","1,212,259,707,946"
"2020-12-30T23:00:00.000Z","33,114.36","14.18","7.00","2,153,473,433,571"
"2021-01-30T23:00:00.000Z","45,137.77","36.31","29.13","2,267,152,936,675"
"2021-02-27T23:00:00.000Z","58,918.83","30.53","23.35","1,681,184,264,687"
"2021-03-30T22:00:00.000Z","57,750.18","-1.98","-9.16","1,844,481,772,417"
"2021-04-29T22:00:00.000Z","37,332.86","-35.35","-42.53","1,976,593,438,572"
"2021-05-30T22:00:00.000Z","35,040.84","-6.14","-13.32","1,189,647,451,707"
"2021-06-29T22:00:00.000Z","41,626.20","18.79","11.62","819,103,381,204"
"2021-07-30T22:00:00.000Z","47,166.69","13.31","6.13","1,014,674,184,428"
"2021-08-30T22:00:00.000Z","43,790.89","-7.16","-14.33","1,102,139,678,824"
"2021-09-29T22:00:00.000Z","61,318.96","40.03","32.85","1,153,077,903,534"
"2021-10-30T22:00:00.000Z","57,005.43","-7.03","-14.21","1,053,270,271,383"
"2021-11-29T23:00:00.000Z","46,306.45","-18.77","-25.95","957,047,184,722"
"2021-12-30T23:00:00.000Z","38,483.13","-16.89","-24.07","923,979,037,681"
"2022-01-30T23:00:00.000Z","43,193.23","12.24","5.06","671,335,993,325"
"2022-02-27T23:00:00.000Z","45,538.68","5.43","-1.75","830,943,838,435"
"2022-03-30T22:00:00.000Z","37,714.88","-17.18","-24.36","830,115,888,649"
"2022-04-29T22:00:00.000Z","31,792.31","-15.70","-22.88","1,105,689,315,990"
"2022-05-30T22:00:00.000Z","19,784.73","-37.77","-44.95","923,939,211,678"
"2022-06-29T22:00:00.000Z","23,336.90","17.95","10.78","927,582,363,389"
"2022-07-30T22:00:00.000Z","20,049.76","-14.09","-21.26","894,192,654,543"
"2022-08-30T22:00:00.000Z","19,431.79","-3.08","-10.26","1,123,272,250,385"
"2022-09-29T22:00:00.000Z","20,495.77","5.48","-1.70","957,903,424,925"
