"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2025","117.52","123.47","123.56","104.83","4.21B","-5.92%"
"02/01/2025","124.92","114.75","143.44","113.01","4.76B","4.04%"
"01/01/2025","120.07","136.00","153.13","116.25","5.95B","-10.59%"
"12/01/2024","134.29","138.83","146.54","126.86","4.09B","-2.86%"
"11/01/2024","138.25","134.70","152.89","131.80","4.50B","4.14%"
"10/01/2024","132.76","121.76","144.42","115.14","5.63B","9.32%"
"09/01/2024","121.44","116.01","127.67","100.95","6.27B","1.73%"
"08/01/2024","119.37","117.53","131.26","90.69","8.11B","2.01%"
"07/01/2024","117.02","123.47","136.15","102.54","6.41B","-5.28%"
"06/01/2024","123.54","113.62","140.76","112.00","7.44B","12.69%"
"05/01/2024","109.63","85.08","115.82","81.25","9.65B","26.89%"
"04/01/2024","86.40","90.30","92.22","75.61","10.07B","-4.38%"
"03/01/2024","90.36","80.00","97.40","79.44","12.15B","14.21%"
"02/01/2024","79.11","62.10","82.39","61.65","11.08B","28.58%"
"01/01/2024","61.53","49.24","63.49","47.32","9.71B","24.24%"
"12/01/2023","49.52","46.53","50.43","45.01","7.41B","5.88%"
"11/01/2023","46.77","40.88","50.55","40.87","9.15B","14.69%"
"10/01/2023","40.78","44.03","47.61","39.23","10.14B","-6.25%"
"09/01/2023","43.50","49.76","49.80","40.98","8.58B","-11.87%"
"08/01/2023","49.35","46.46","50.27","40.31","13.64B","5.62%"
"07/01/2023","46.73","42.52","48.09","41.35","8.71B","10.47%"
"06/01/2023","42.30","38.49","43.99","37.36","10.53B","11.81%"
"05/01/2023","37.83","27.84","41.94","27.24","11.70B","36.34%"
"04/01/2023","27.75","27.51","28.11","26.22","7.44B","-0.10%"
"03/01/2023","27.78","23.19","27.83","22.30","11.27B","19.65%"
"02/01/2023","23.22","19.69","23.89","19.61","10.39B","18.83%"
"01/01/2023","19.54","14.85","20.63","14.03","9.45B","33.69%"
"12/01/2022","14.61","17.00","18.79","13.88","8.95B","-13.64%"
"11/01/2022","16.92","13.81","17.00","12.96","10.60B","25.38%"
"10/01/2022","13.50","12.35","13.85","10.81","12.55B","11.19%"
"09/01/2022","12.14","14.21","14.55","11.95","13.13B","-19.58%"
"08/01/2022","15.09","18.18","19.27","14.96","12.07B","-16.90%"
"07/01/2022","18.16","14.90","18.24","14.06","10.57B","19.82%"
"06/01/2022","15.16","18.72","19.62","14.86","10.56B","-18.81%"
"05/01/2022","18.67","18.54","20.40","15.57","13.83B","0.67%"
"04/01/2022","18.55","27.38","27.56","18.29","11.11B","-32.03%"
"03/01/2022","27.29","24.29","28.95","20.65","11.65B","11.90%"
"02/01/2022","24.39","25.10","26.92","20.89","10.65B","-0.41%"
"01/01/2022","24.49","29.82","30.71","20.89","10.68B","-16.75%"
"12/01/2021","29.41","33.22","33.29","27.15","11.06B","-9.99%"
"11/01/2021","32.68","25.65","34.65","25.23","10.81B","27.81%"
"10/01/2021","25.57","20.75","25.71","19.56","4.97B","23.42%"
"09/01/2021","20.72","22.49","22.99","20.47","5.00B","-7.46%"
"08/01/2021","22.39","19.70","23.04","18.76","6.42B","14.80%"
"07/01/2021","19.50","20.13","20.88","17.87","7.82B","-2.52%"
"06/01/2021","20.00","16.27","20.16","15.90","10.27B","23.13%"
"05/01/2021","16.24","15.13","16.28","13.46","7.05B","8.23%"
"04/01/2021","15.01","13.57","16.21","13.51","6.72B","12.45%"
"03/01/2021","13.35","13.88","13.93","11.57","7.65B","-2.67%"
"02/01/2021","13.71","13.05","15.37","12.90","6.68B","5.58%"
"01/01/2021","12.99","13.10","14.00","12.59","6.16B","-0.50%"
"12/01/2020","13.06","13.49","13.73","12.76","5.12B","-2.59%"
"11/01/2020","13.40","12.66","14.69","12.40","7.60B","6.92%"
"10/01/2020","12.53","13.76","14.35","12.30","8.02B","-7.36%"
"09/01/2020","13.53","13.48","14.73","11.70","15.86B","1.17%"
"08/01/2020","13.37","10.73","13.57","10.72","9.67B","26.00%"
"07/01/2020","10.61","9.52","10.79","9.41","8.10B","11.76%"
"06/01/2020","9.50","8.83","9.64","8.66","9.72B","7.01%"
"05/01/2020","8.88","7.11","9.18","7.02","12.55B","21.47%"
"04/01/2020","7.31","6.39","7.61","5.96","11.28B","10.88%"
"03/01/2020","6.59","6.92","7.12","4.52","15.78B","-2.40%"
"02/01/2020","6.75","5.89","7.91","5.89","11.86B","14.23%"
"01/01/2020","5.91","5.97","6.49","5.78","6.13B","0.48%"
"12/01/2019","5.88","5.41","6.05","5.01","6.57B","8.56%"
"11/01/2019","5.42","4.99","5.54","4.96","7.34B","7.82%"
"10/01/2019","5.03","4.38","5.22","4.25","7.81B","15.48%"
"09/01/2019","4.35","4.11","4.71","4.08","6.41B","3.92%"
"08/01/2019","4.19","4.23","4.34","3.68","9.55B","-0.72%"
"07/01/2019","4.22","4.31","4.47","3.88","8.42B","2.73%"
"06/01/2019","4.11","3.40","4.13","3.32","8.23B","21.24%"
"05/01/2019","3.39","4.58","4.62","3.38","11.18B","-25.16%"
"04/01/2019","4.53","4.58","4.84","4.33","9.44B","0.80%"
"03/01/2019","4.49","3.91","4.63","3.62","12.07B","16.40%"
"02/01/2019","3.86","3.61","4.13","3.56","11.45B","7.31%"
"01/01/2019","3.59","3.27","4.02","3.19","16.87B","7.68%"
"12/01/2018","3.34","4.32","4.37","3.11","12.45B","-18.31%"
"11/01/2018","4.09","5.31","5.55","3.33","16.16B","-22.48%"
"10/01/2018","5.27","7.10","7.32","4.40","12.98B","-24.98%"
"09/01/2018","7.03","7.00","7.13","6.47","6.34B","0.12%"
"08/01/2018","7.02","6.15","7.04","5.97","10.92B","14.63%"
"07/01/2018","6.12","5.85","6.41","5.83","6.32B","3.36%"
"06/01/2018","5.92","6.35","6.73","5.88","8.79B","-6.06%"
"05/01/2018","6.30","5.61","6.51","5.55","11.98B","12.13%"
"04/01/2018","5.62","5.72","5.98","5.26","11.15B","-2.89%"
"03/01/2018","5.79","6.05","6.36","5.43","14.12B","-4.30%"
"02/01/2018","6.05","5.96","6.30","5.10","14.92B","-1.55%"
"01/01/2018","6.14","4.89","6.23","4.86","11.46B","27.03%"
"12/01/2017","4.84","4.98","5.01","4.51","10.11B","-3.59%"
"11/01/2017","5.02","5.23","5.47","4.78","11.83B","-2.95%"
"10/01/2017","5.17","4.52","5.20","4.43","11.42B","15.68%"
"09/01/2017","4.47","4.25","4.78","4.07","14.45B","5.51%"
"08/01/2017","4.24","4.05","4.36","3.82","14.73B","4.26%"
"07/01/2017","4.06","3.63","4.25","3.46","15.49B","12.42%"
"06/01/2017","3.61","3.62","4.21","3.55","23.45B","0.15%"
"05/01/2017","3.61","2.62","3.67","2.56","19.21B","38.40%"
"04/01/2017","2.61","2.72","2.74","2.39","9.57B","-4.25%"
"03/01/2017","2.72","2.59","2.75","2.38","14.29B","7.34%"
"02/01/2017","2.54","2.76","3.02","2.39","14.21B","-7.05%"
"01/01/2017","2.73","2.61","2.80","2.48","13.40B","2.29%"
"12/01/2016","2.67","2.30","3.00","2.12","18.08B","15.77%"
"11/01/2016","2.31","1.79","2.38","1.66","12.77B","29.57%"
"10/01/2016","1.78","1.71","1.82","1.59","6.55B","3.85%"
"09/01/2016","1.71","1.53","1.73","1.43","8.67B","11.71%"
"08/01/2016","1.53","1.43","1.59","1.39","9.31B","7.43%"
"07/01/2016","1.43","1.17","1.43","1.15","7.21B","21.46%"
"06/01/2016","1.18","1.16","1.21","1.11","8.20B","0.62%"
"05/01/2016","1.17","0.90","1.17","0.86","10.37B","31.49%"
"04/01/2016","0.89","0.89","0.94","0.87","6.73B","0.00%"
"03/01/2016","0.89","0.79","0.91","0.78","6.58B","13.62%"
"02/01/2016","0.78","0.73","0.80","0.62","9.00B","7.07%"
"01/01/2016","0.73","0.81","0.84","0.66","8.14B","-11.13%"
"12/01/2015","0.82","0.80","0.85","0.80","5.63B","3.91%"
"11/01/2015","0.79","0.71","0.80","0.69","7.35B","11.81%"
"10/01/2015","0.71","0.62","0.72","0.59","8.05B","15.09%"
"09/01/2015","0.62","0.55","0.62","0.54","6.48B","9.65%"
"08/01/2015","0.56","0.50","0.60","0.50","9.47B","12.68%"
"07/01/2015","0.50","0.52","0.52","0.48","5.48B","0.00%"
"06/01/2015","0.50","0.56","0.57","0.50","7.33B","-9.13%"
"05/01/2015","0.55","0.56","0.57","0.51","7.08B","0.00%"
"04/01/2015","0.55","0.53","0.57","0.52","5.67B","6.07%"
"03/01/2015","0.52","0.55","0.59","0.51","7.31B","-5.15%"
"02/01/2015","0.55","0.48","0.56","0.47","4.19B","14.87%"
"01/01/2015","0.48","0.50","0.52","0.48","4.14B","-4.21%"
"12/01/2014","0.50","0.52","0.53","0.48","4.26B","-4.39%"
"11/01/2014","0.52","0.50","0.53","0.48","4.64B","7.32%"
"10/01/2014","0.49","0.46","0.49","0.42","6.61B","5.91%"
"09/01/2014","0.46","0.49","0.50","0.46","5.51B","-5.14%"
"08/01/2014","0.49","0.44","0.49","0.43","6.08B","11.14%"
"07/01/2014","0.44","0.46","0.49","0.44","6.27B","-5.61%"
"06/01/2014","0.46","0.48","0.49","0.46","5.28B","-1.38%"
"05/01/2014","0.47","0.47","0.48","0.44","5.61B","2.17%"
"04/01/2014","0.46","0.46","0.49","0.45","6.94B","2.22%"
"03/01/2014","0.45","0.45","0.47","0.44","7.22B","-2.17%"
"02/01/2014","0.46","0.40","0.48","0.38","7.72B","17.95%"
"01/01/2014","0.39","0.40","0.41","0.38","5.42B","-2.50%"
"12/01/2013","0.40","0.39","0.40","0.37","6.17B","2.56%"
"11/01/2013","0.39","0.38","0.41","0.36","6.63B","2.63%"
"10/01/2013","0.38","0.39","0.40","0.38","5.77B","-2.56%"
"09/01/2013","0.39","0.37","0.40","0.37","4.82B","5.41%"
"08/01/2013","0.37","0.36","0.39","0.33","7.86B","2.78%"
