"Date","Price","Open","High","Low","Vol.","Change %"
"03/16/2025","86,048.0","84,536.0","87,621.0","81,366.0","3.43K","1.79%"
"03/09/2025","84,536.0","86,494.0","86,823.0","77,041.0","8.85K","-2.26%"
"03/02/2025","86,493.0","86,397.0","95,283.0","81,740.0","10.20K","0.13%"
"02/23/2025","86,382.0","96,721.0","96,767.0","78,651.0","18.69K","-10.69%"
"02/16/2025","96,721.0","97,574.0","99,572.0","93,633.0","4.94K","-0.87%"
"02/09/2025","97,574.0","96,582.0","98,817.0","94,398.0","6.08K","1.03%"
"02/02/2025","96,582.0","100,700.0","102,390.0","91,672.0","9.66K","-4.09%"
"01/26/2025","100,700.0","104,700.0","106,520.0","97,823.0","3.44K","-3.82%"
"01/19/2025","104,700.0","104,490.0","109,410.0","99,634.0","8.31K","0.20%"
"01/12/2025","104,490.0","94,716.0","105,800.0","89,939.0","6.39K","10.32%"
"01/05/2025","94,716.0","98,310.0","102,760.0","91,431.0","5.86K","-3.66%"
"12/29/2024","98,319.0","95,533.0","99,020.0","91,696.0","5.58K","2.92%"
"12/22/2024","95,533.0","97,289.0","99,900.0","92,666.0","5.49K","-1.80%"
"12/15/2024","97,289.0","101,320.0","108,080.0","92,454.0","14.10K","-3.98%"
"12/08/2024","101,320.0","99,936.0","102,470.0","94,255.0","5.86K","1.38%"
"12/01/2024","99,936.0","96,506.0","103,990.0","91,398.0","12.14K","3.55%"
"11/24/2024","96,506.0","97,538.0","98,690.0","90,911.0","6.11K","-1.06%"
"11/17/2024","97,538.0","90,538.0","99,327.0","88,758.0","13.79K","7.73%"
"11/10/2024","90,538.0","76,703.0","93,286.0","76,531.0","17.30K","18.04%"
"11/03/2024","76,703.0","69,292.0","77,049.0","66,881.0","10.33K","10.70%"
"10/27/2024","69,292.0","67,081.0","73,525.0","66,926.0","6.26K","3.30%"
"10/20/2024","67,081.0","68,360.0","69,554.0","65,265.0","3.23K","-1.87%"
"10/13/2024","68,360.0","63,335.0","68,886.0","62,204.0","6.10K","7.93%"
"10/06/2024","63,335.0","62,138.0","64,514.0","58,944.0","3.21K","1.93%"
"09/29/2024","62,138.0","66,015.0","66,193.0","60,009.0","3.98K","-5.87%"
"09/22/2024","66,015.0","63,416.0","66,548.0","62,485.0","4.47K","4.10%"
"09/15/2024","63,416.0","60,139.0","64,200.0","57,653.0","5.35K","5.45%"
"09/08/2024","60,139.0","54,309.0","60,730.0","53,764.0","7.59K","10.73%"
"09/01/2024","54,309.0","59,155.0","59,976.0","52,756.0","12.09K","-8.19%"
"08/25/2024","59,155.0","64,230.0","65,092.0","58,000.0","7.40K","-7.90%"
"08/18/2024","64,230.0","59,589.0","64,953.0","57,955.0","4.73K","7.79%"
"08/11/2024","59,589.0","61,018.0","61,824.0","56,231.0","4.46K","-2.34%"
"08/04/2024","61,018.0","60,825.0","62,752.0","49,538.0","12.17K","0.32%"
"07/28/2024","60,825.0","68,019.0","70,162.0","60,000.0","6.44K","-10.58%"
"07/21/2024","68,019.0","67,239.0","69,529.0","63,560.0","5.30K","1.16%"
"07/14/2024","67,239.0","59,382.0","67,673.0","59,382.0","6.38K","13.23%"
"07/07/2024","59,382.0","58,326.0","60,020.0","54,500.0","8.36K","1.81%"
"06/30/2024","58,326.0","61,087.0","63,911.0","53,727.0","11.31K","-4.52%"
"06/23/2024","61,087.0","64,370.0","64,617.0","58,595.0","9.05K","-5.10%"
"06/16/2024","64,370.0","66,229.0","67,301.0","63,505.0","6.72K","-2.81%"
"06/09/2024","66,229.0","69,338.0","70,150.0","65,088.0","5.61K","-4.48%"
"06/02/2024","69,338.0","67,759.0","71,912.0","67,349.0","7.12K","2.33%"
"05/26/2024","67,759.0","69,334.0","70,678.0","66,700.0","5.40K","-2.27%"
"05/19/2024","69,334.0","66,995.0","71,921.0","65,989.0","7.20K","3.49%"
"05/12/2024","66,995.0","60,929.0","67,540.0","60,723.0","6.34K","9.96%"
"05/05/2024","60,929.0","63,983.0","65,625.0","60,300.0","7.30K","-4.77%"
"04/28/2024","63,983.0","63,574.0","64,800.0","56,756.0","15.14K","0.64%"
"04/21/2024","63,574.0","65,045.0","67,282.0","62,498.0","5.59K","-2.26%"
"04/14/2024","65,045.0","64,039.0","66,888.0","59,698.0","15.11K","1.57%"
"04/07/2024","64,039.0","68,880.0","72,761.0","61,604.0","15.96K","-7.03%"
"03/31/2024","68,880.0","69,683.0","71,444.0","64,603.0","14.22K","-1.15%"
"03/24/2024","69,683.0","64,034.0","71,610.0","63,827.0","17.25K","8.76%"
"03/17/2024","64,069.0","65,304.0","68,940.0","60,900.0","27.28K","-1.89%"
"03/10/2024","65,304.0","68,205.0","73,666.0","65,000.0","33.59K","-4.25%"
"03/03/2024","68,205.0","61,962.0","69,838.0","59,858.0","32.52K","10.08%"
"02/25/2024","61,962.0","51,630.0","63,780.0","50,903.0","25.94K","20.01%"
"02/18/2024","51,630.0","51,631.0","52,872.0","50,527.0","10.90K","0.00%"
"02/11/2024","51,631.0","47,800.0","52,700.0","47,613.0","16.18K","8.01%"
"02/04/2024","47,800.0","43,004.0","48,185.0","42,247.0","11.39K","11.15%"
"01/28/2024","43,004.0","42,125.0","43,840.0","41,637.0","6.98K","2.09%"
"01/21/2024","42,125.0","41,778.0","42,204.0","38,572.0","16.72K","0.83%"
"01/14/2024","41,778.0","42,847.0","43,588.0","40,364.0","8.16K","-2.49%"
"01/07/2024","42,847.0","44,005.0","48,750.0","41,574.0","26.05K","-2.63%"
"12/31/2023","44,005.0","42,199.0","45,892.0","40,499.0","14.14K","4.28%"
"12/24/2023","42,199.0","43,801.0","43,975.0","41,433.0","8.76K","-3.66%"
"12/17/2023","43,801.0","42,328.0","44,444.0","40,556.0","8.81K","3.48%"
"12/10/2023","42,328.0","43,749.0","44,065.0","40,286.0","10.09K","-3.25%"
"12/03/2023","43,749.0","39,438.0","44,699.0","39,253.0","21.58K","10.93%"
"11/26/2023","39,438.0","37,782.0","39,678.0","36,735.0","12.58K","4.38%"
"11/19/2023","37,782.0","36,581.0","38,410.0","35,663.0","15.49K","3.28%"
"11/12/2023","36,581.0","37,141.0","37,949.0","34,860.0","8.42K","-1.51%"
"11/05/2023","37,141.0","35,100.0","37,973.0","34,532.0","8.91K","5.81%"
"10/29/2023","35,100.0","34,104.0","35,953.0","33,969.0","11.44K","2.92%"
"10/22/2023","34,104.0","29,922.0","35,175.0","29,704.0","18.05K","13.98%"
"10/15/2023","29,922.0","26,871.0","30,343.0","26,832.0","14.53K","11.35%"
"10/08/2023","26,871.0","27,967.0","28,093.0","26,562.0","9.71K","-3.92%"
"10/01/2023","27,967.0","26,980.0","28,566.0","26,973.0","10.21K","3.66%"
"09/24/2023","26,980.0","26,609.0","27,300.0","26,045.0","8.98K","1.39%"
"09/17/2023","26,609.0","26,576.0","27,506.0","26,416.0","11.61K","0.12%"
"09/10/2023","26,576.0","25,910.0","26,862.0","24,927.0","9.35K","2.57%"
"09/03/2023","25,910.0","25,870.0","26,444.0","25,453.0","6.19K","0.15%"
"08/27/2023","25,870.0","26,045.0","28,097.0","25,354.0","12.48K","-0.67%"
"08/20/2023","26,045.0","26,115.0","26,834.0","25,490.0","7.12K","-0.27%"
"08/13/2023","26,115.0","29,445.0","29,689.0","24,863.0","11.57K","-11.31%"
"08/06/2023","29,445.0","29,075.0","30,235.0","28,722.0","7.64K","1.27%"
"07/30/2023","29,075.0","29,402.0","30,056.0","28,663.0","5.57K","-1.11%"
"07/23/2023","29,402.0","29,811.0","30,370.0","28,931.0","4.48K","-1.37%"
"07/16/2023","29,811.0","30,310.0","30,469.0","29,618.0","7.12K","-1.65%"
"07/09/2023","30,310.0","30,318.0","31,814.0","29,969.0","11.59K","-0.03%"
"07/02/2023","30,318.0","30,607.0","31,530.0","29,779.0","9.58K","-0.94%"
"06/25/2023","30,607.0","30,556.0","31,299.0","29,617.0","11.44K","0.17%"
"06/18/2023","30,556.0","26,535.0","31,415.0","26,293.0","13.09K","15.15%"
"06/11/2023","26,535.0","25,870.0","26,789.0","24,853.0","6.12K","2.57%"
"06/04/2023","25,870.0","27,077.0","27,446.0","25,392.0","8.59K","-4.46%"
"05/28/2023","27,077.0","26,885.0","28,463.0","26,523.0","6.62K","0.71%"
"05/21/2023","26,885.0","27,126.0","27,481.0","25,889.0","5.19K","-0.89%"
"05/14/2023","27,126.0","26,790.0","27,671.0","26,443.0","6.26K","1.25%"
"05/07/2023","26,790.0","28,909.0","29,175.0","25,884.0","10.14K","-7.33%"
"04/30/2023","28,909.0","29,253.0","29,962.0","27,700.0","9.00K","-1.18%"
"04/23/2023","29,253.0","27,826.0","30,028.0","26,998.0","11.16K","5.13%"
"04/16/2023","27,826.0","30,280.0","30,559.0","27,163.0","13.88K","-8.10%"
"04/09/2023","30,280.0","27,901.0","30,968.0","27,780.0","13.39K","8.53%"
"04/02/2023","27,901.0","28,443.0","28,750.0","27,231.0","7.78K","-1.91%"
"03/26/2023","28,443.0","27,482.0","29,170.0","26,542.0","11.84K","3.50%"
"03/19/2023","27,482.0","26,913.0","28,813.0","26,620.0","19.55K","2.11%"
"03/12/2023","26,913.0","20,538.0","27,605.0","20,363.0","47.13K","31.04%"
"03/05/2023","20,538.0","22,346.0","22,650.0","19,592.0","18.40K","-8.09%"
"02/26/2023","22,346.0","23,177.0","23,979.0","22,003.0","10.90K","-3.59%"
"02/19/2023","23,177.0","24,633.0","25,200.0","22,810.0","20.38K","-5.91%"
"02/12/2023","24,633.0","21,866.0","25,232.0","21,404.0","21.04K","12.65%"
"02/05/2023","21,866.0","23,315.0","23,430.0","21,500.0","11.32K","-6.21%"
"01/29/2023","23,315.0","23,029.0","24,239.0","22,516.0","17.83K","1.24%"
"01/22/2023","23,029.0","22,766.0","23,812.0","22,321.0","14.64K","1.16%"
"01/15/2023","22,766.0","20,963.0","23,312.0","20,435.0","16.94K","8.60%"
"01/08/2023","20,963.0","16,958.0","21,300.0","16,930.0","18.81K","23.62%"
"01/01/2023","16,958.0","16,564.0","17,045.0","16,517.0","7.77K","2.38%"
"12/25/2022","16,564.0","16,864.0","16,987.0","16,380.0","6.24K","-1.78%"
"12/18/2022","16,864.0","16,793.0","17,057.0","16,320.0","6.71K","0.42%"
"12/11/2022","16,793.0","17,132.0","18,373.0","16,554.0","21.56K","-1.98%"
"12/04/2022","17,132.0","16,890.0","17,420.0","16,720.0","9.29K","1.43%"
"11/27/2022","16,890.0","16,459.0","17,270.0","16,014.0","11.32K","2.62%"
"11/20/2022","16,459.0","16,695.0","16,792.0","15,501.0","15.18K","-1.41%"
"11/13/2022","16,695.0","16,812.0","17,188.0","15,829.0","24.48K","-0.70%"
"11/06/2022","16,812.0","21,313.0","21,378.0","15,603.0","78.08K","-21.12%"
"10/30/2022","21,313.0","20,833.0","21,470.0","20,073.0","16.44K","2.30%"
"10/23/2022","20,833.0","19,219.0","21,074.0","19,105.0","16.67K","8.40%"
"10/16/2022","19,219.0","19,072.0","19,705.0","18,680.0","8.85K","0.77%"
"10/09/2022","19,072.0","19,418.0","19,946.0","18,200.0","28.87K","-1.78%"
"10/02/2022","19,418.0","19,317.0","20,470.0","18,945.0","51.09K","0.52%"
"09/25/2022","19,317.0","18,935.0","20,373.0","18,495.0","110.46K","2.02%"
"09/18/2022","18,935.0","20,127.0","20,127.0","18,214.0","98.85K","-5.92%"
"09/11/2022","20,127.0","21,657.0","22,746.0","19,350.0","52.50K","-7.03%"
"09/04/2022","21,648.0","19,835.0","21,802.0","18,561.0","54.80K","9.14%"
"08/28/2022","19,835.0","20,044.0","20,574.0","19,540.0","35.85K","-1.00%"
"08/21/2022","20,036.0","21,141.0","21,866.0","19,852.0","41.95K","-5.23%"
"08/14/2022","21,141.0","24,425.0","25,203.0","20,769.0","42.06K","-13.45%"
"08/07/2022","24,425.0","22,924.0","24,880.0","22,665.0","31.13K","6.55%"
"07/31/2022","22,924.0","23,639.0","24,211.0","22,390.0","36.40K","-3.02%"
"07/24/2022","23,639.0","22,446.0","24,641.0","20,738.0","35.29K","5.31%"
"07/17/2022","22,446.0","21,224.0","24,276.0","20,751.0","48.46K","5.76%"
"07/10/2022","21,224.0","21,575.8","21,590.1","18,926.8","41.41K","-1.63%"
"07/03/2022","21,575.8","19,230.0","22,405.0","18,774.0","40.99K","12.20%"
"06/26/2022","19,230.0","21,485.0","21,871.3","18,643.0","26.62K","-10.50%"
"06/19/2022","21,485.0","18,978.0","21,670.0","17,950.0","51.39K","13.21%"
"06/12/2022","18,978.0","28,425.0","28,558.3","17,611.0","141.81K","-33.23%"
"06/05/2022","28,425.0","29,877.0","31,764.0","28,138.0","26.98K","-4.86%"
"05/29/2022","29,877.0","29,037.0","32,390.8","28,851.0","30.29K","2.89%"
"05/22/2022","29,037.0","29,439.0","30,666.0","28,005.0","24.68K","-1.37%"
"05/15/2022","29,439.0","30,104.0","31,416.0","28,634.0","26.48K","-2.21%"
"05/08/2022","30,104.0","35,506.0","35,540.0","26,600.0","121.71K","-15.22%"
"05/01/2022","35,508.0","37,662.0","39,996.0","34,879.0","40.12K","-5.72%"
"04/24/2022","37,662.0","39,444.0","40,800.3","37,633.0","28.15K","-4.52%"
"04/17/2022","39,446.7","40,408.7","42,977.0","38,557.0","25.52K","-2.38%"
"04/10/2022","40,408.7","42,780.0","43,460.0","39,274.0","25.90K","-5.54%"
"04/03/2022","42,780.0","45,825.0","47,414.0","42,137.0","26.00K","-6.64%"
"03/27/2022","45,825.0","44,536.4","48,159.0","44,245.9","32.16K","2.89%"
"03/20/2022","44,536.4","42,213.0","45,082.0","40,544.0","24.44K","5.50%"
"03/13/2022","42,214.0","38,816.3","42,373.0","37,570.0","34.86K","8.75%"
"03/06/2022","38,816.3","39,408.0","42,593.0","37,198.0","46.61K","-1.50%"
"02/27/2022","39,408.0","39,137.1","45,326.0","37,067.1","42.08K","0.72%"
"02/20/2022","39,125.0","40,128.0","40,274.0","34,435.0","54.80K","-2.53%"
"02/13/2022","40,141.0","42,239.1","44,762.0","39,571.0","30.00K","-4.97%"
"02/06/2022","42,239.1","41,454.0","45,851.0","41,171.0","37.26K","1.89%"
"01/30/2022","41,454.0","38,179.9","41,928.0","36,282.0","37.27K","8.53%"
"01/23/2022","38,197.0","35,103.0","38,901.0","32,981.0","67.33K","8.81%"
"01/16/2022","35,103.0","43,069.0","43,540.6","34,079.0","52.38K","-18.50%"
"01/09/2022","43,069.0","41,679.0","44,426.7","39,677.0","34.03K","3.34%"
"01/02/2022","41,679.0","47,755.0","47,980.0","40,570.0","33.42K","-12.72%"
"12/26/2021","47,755.0","50,435.2","52,027.0","45,697.0","27.50K","-5.32%"
"12/19/2021","50,437.0","46,879.0","51,834.0","45,606.0","28.07K","7.59%"
"12/12/2021","46,879.0","49,363.1","50,800.0","45,539.0","40.26K","-5.03%"
"12/05/2021","49,363.1","49,272.0","51,969.0","46,897.0","42.70K","0.18%"
"11/28/2021","49,272.0","54,836.0","59,174.0","42,101.0","47.88K","-10.15%"
"11/21/2021","54,836.0","59,739.0","60,047.0","53,565.0","53.23K","-8.21%"
"11/14/2021","59,739.0","64,406.0","66,320.0","55,670.0","48.89K","-7.25%"
"11/07/2021","64,406.0","61,495.0","68,925.0","61,400.0","43.75K","4.73%"
"10/31/2021","61,496.0","61,838.8","64,263.4","59,595.6","24.52K","-0.55%"
"10/24/2021","61,838.8","61,302.0","63,666.0","57,612.0","33.87K","0.88%"
"10/17/2021","61,302.0","60,867.5","66,927.0","59,073.0","58.16K","0.71%"
"10/10/2021","60,867.5","54,978.0","62,897.0","54,000.0","50.84K","10.71%"
"10/03/2021","54,978.0","47,675.0","56,000.0","46,951.0","42.95K","15.32%"
"09/26/2021","47,675.0","42,711.0","48,454.0","40,811.0","42.00K","11.62%"
"09/19/2021","42,711.0","48,309.0","48,370.0","39,678.0","67.08K","-11.59%"
"09/12/2021","48,309.0","45,169.0","48,794.0","43,514.0","28.21K","6.95%"
"09/05/2021","45,169.0","49,899.0","52,888.0","43,347.0","48.85K","-9.48%"
"08/29/2021","49,899.0","48,914.0","51,032.0","46,600.0","37.11K","2.01%"
"08/22/2021","48,914.0","48,868.0","50,506.3","46,364.9","34.61K","0.09%"
"08/15/2021","48,868.0","47,084.0","49,784.0","43,992.0","40.38K","3.79%"
"08/08/2021","47,084.0","44,589.0","48,120.0","42,792.0","48.90K","5.60%"
"08/01/2021","44,589.0","41,409.0","44,689.2","37,361.0","41.40K","7.68%"
"07/25/2021","41,409.0","34,620.0","42,317.0","33,906.0","53.00K","22.35%"
"07/18/2021","33,845.0","31,559.0","34,043.0","29,341.0","55.39K","7.24%"
"07/11/2021","31,559.0","33,506.0","34,624.0","31,055.0","38.85K","-5.81%"
"07/04/2021","33,506.0","35,494.0","35,782.0","32,063.0","51.75K","-3.60%"
"06/27/2021","34,758.0","32,359.0","36,411.0","32,359.0","59.77K","7.41%"
"06/20/2021","32,359.0","35,585.8","35,966.0","29,927.0","156.97K","-9.07%"
"06/13/2021","35,585.8","35,531.0","40,732.0","34,984.0","59.34K","0.15%"
"06/06/2021","35,531.0","35,543.0","37,933.0","31,547.6","78.47K","-0.03%"
"05/30/2021","35,543.0","34,570.0","39,094.0","33,680.0","38.20K","2.81%"
"05/23/2021","34,570.0","37,585.0","40,497.8","32,623.0","83.42K","-8.02%"
"05/16/2021","37,585.0","46,784.9","49,460.0","35,188.0","207.04K","-19.66%"
"05/09/2021","46,784.9","58,894.0","59,454.3","46,784.9","77.94K","-20.56%"
"05/02/2021","58,894.0","57,774.0","59,327.0","53,852.0","53.48K","1.94%"
"04/25/2021","57,774.0","50,167.0","58,265.0","48,409.8","56.88K","15.16%"
