"Date","Close","% Change","% Change vs Average","Volume"
"1999-12-31T23:00:00.000Z","45.92","0","-0.55","30,657,551"
"2000-01-31T23:00:00.000Z","48.09","4.72","4.16","34,911,363"
"2000-02-29T23:00:00.000Z","46.55","-3.20","-3.76","34,117,801"
"2000-03-31T22:00:00.000Z","50.88","9.31","8.76","32,878,878"
"2000-04-30T22:00:00.000Z","55.26","8.60","8.05","29,158,821"
"2000-05-31T22:00:00.000Z","56.29","1.86","1.31","25,688,858"
"2000-06-30T22:00:00.000Z","59.86","6.35","5.80","19,594,024"
"2000-07-31T22:00:00.000Z","59.59","-0.45","-1.00","23,442,690"
"2000-08-31T22:00:00.000Z","56.60","-5.02","-5.58","21,175,239"
"2000-09-30T22:00:00.000Z","59.77","5.60","5.05","28,276,283"
"2000-10-31T23:00:00.000Z","55.39","-7.32","-7.88","27,975,820"
"2000-11-30T23:00:00.000Z","59.15","6.77","6.22","23,362,471"
"2000-12-31T23:00:00.000Z","64.64","9.29","8.74","34,443,814"
"2001-01-31T23:00:00.000Z","59.37","-8.15","-8.71","27,440,020"
"2001-02-28T23:00:00.000Z","62.54","5.34","4.79","40,300,095"
"2001-03-31T22:00:00.000Z","64.95","3.86","3.30","31,417,053"
"2001-04-30T22:00:00.000Z","62.76","-3.37","-3.92","51,681,949"
"2001-05-31T22:00:00.000Z","62.50","-0.43","-0.98","29,502,672"
"2001-06-30T22:00:00.000Z","56.82","-9.08","-9.63","38,457,122"
"2001-07-31T22:00:00.000Z","57.89","1.89","1.33","34,013,670"
"2001-08-31T22:00:00.000Z","48.96","-15.43","-15.99","49,681,617"
"2001-09-30T22:00:00.000Z","49.63","1.37","0.82","32,242,850"
"2001-10-31T23:00:00.000Z","54.32","9.45","8.90","43,339,128"
"2001-11-30T23:00:00.000Z","56.15","3.37","2.82","23,653,935"
"2001-12-31T23:00:00.000Z","61.11","8.83","8.28","40,104,122"
"2002-01-31T23:00:00.000Z","61.11","0","-0.55","36,833,922"
"2002-02-28T23:00:00.000Z","63.21","3.44","2.88","35,361,521"
"2002-03-31T22:00:00.000Z","67.90","7.42","6.87","44,242,404"
"2002-04-30T22:00:00.000Z","65.00","-4.28","-4.83","42,667,173"
"2002-05-31T22:00:00.000Z","59.59","-8.32","-8.87","51,326,085"
"2002-06-30T22:00:00.000Z","50.93","-14.54","-15.10","74,900,794"
"2002-07-31T22:00:00.000Z","54.01","6.05","5.50","46,777,606"
"2002-08-31T22:00:00.000Z","38.11","-29.43","-29.98","58,339,913"
"2002-09-30T22:00:00.000Z","45.70","19.90","19.35","65,009,489"
"2002-10-31T23:00:00.000Z","50.57","10.65","10.10","50,609,473"
"2002-11-30T23:00:00.000Z","49.59","-1.94","-2.50","51,294,677"
"2002-12-31T23:00:00.000Z","48.60","-1.98","-2.54","54,866,059"
"2003-01-31T23:00:00.000Z","44.49","-8.46","-9.01","52,773,158"
"2003-02-28T23:00:00.000Z","42.28","-4.98","-5.53","64,431,598"
"2003-03-31T22:00:00.000Z","48.96","15.81","15.25","68,838,377"
"2003-04-30T22:00:00.000Z","46.64","-4.74","-5.30","63,640,406"
"2003-05-31T22:00:00.000Z","49.32","5.75","5.19","62,703,175"
"2003-06-30T22:00:00.000Z","55.71","12.95","12.40","50,780,437"
"2003-07-31T22:00:00.000Z","53.96","-3.13","-3.68","44,247,676"
"2003-08-31T22:00:00.000Z","51.10","-5.30","-5.85","49,227,344"
"2003-09-30T22:00:00.000Z","57.09","11.71","11.16","46,857,055"
"2003-10-31T23:00:00.000Z","59.68","4.54","3.98","48,158,937"
"2003-11-30T23:00:00.000Z","62.54","4.79","4.24","35,143,791"
"2003-12-31T23:00:00.000Z","63.61","1.71","1.16","41,215,404"
"2004-01-31T23:00:00.000Z","63.84","0.35","-0.20","41,084,683"
"2004-02-29T23:00:00.000Z","62.09","-2.73","-3.28","56,967,292"
"2004-03-31T22:00:00.000Z","62.09","0","-0.55","41,952,744"
"2004-04-30T22:00:00.000Z","62.18","0.14","-0.41","60,677,878"
"2004-05-31T22:00:00.000Z","62.41","0.36","-0.19","45,500,289"
"2004-06-30T22:00:00.000Z","60.93","-2.36","-2.92","41,026,354"
"2004-07-31T22:00:00.000Z","62.72","2.93","2.38","38,002,386"
"2004-08-31T22:00:00.000Z","63.66","1.50","0.94","42,930,246"
"2004-09-30T22:00:00.000Z","64.95","2.04","1.48","39,893,697"
"2004-10-31T23:00:00.000Z","64.91","-0.07","-0.62","46,273,816"
"2004-11-30T23:00:00.000Z","66.52","2.48","1.92","34,044,425"
"2004-12-31T23:00:00.000Z","68.26","2.62","2.07","35,805,179"
"2005-01-31T23:00:00.000Z","71.30","4.45","3.90","40,029,332"
"2005-02-28T23:00:00.000Z","71.61","0.44","-0.11","43,173,764"
"2005-03-31T22:00:00.000Z","68.70","-4.05","-4.61","47,333,360"
"2005-04-30T22:00:00.000Z","71.34","3.84","3.28","49,246,020"
"2005-05-31T22:00:00.000Z","75.18","5.39","4.83","38,481,344"
"2005-06-30T22:00:00.000Z","80.63","7.25","6.70","44,256,906"
"2005-07-31T22:00:00.000Z","78.22","-2.99","-3.55","41,491,380"
"2005-08-31T22:00:00.000Z","84.83","8.45","7.90","39,058,967"
"2005-09-30T22:00:00.000Z","85.10","0.32","-0.24","47,348,764"
"2005-10-31T23:00:00.000Z","90.33","6.14","5.59","39,201,867"
"2005-11-30T23:00:00.000Z","92.83","2.77","2.22","30,619,682"
"2005-12-31T23:00:00.000Z","97.12","4.62","4.07","45,139,963"
"2006-01-31T23:00:00.000Z","106.23","9.38","8.83","38,075,541"
"2006-02-28T23:00:00.000Z","110.88","4.37","3.82","42,892,076"
"2006-03-31T22:00:00.000Z","108.19","-2.42","-2.97","29,466,237"
"2006-04-30T22:00:00.000Z","107.39","-0.74","-1.30","57,291,245"
"2006-05-31T22:00:00.000Z","102.74","-4.33","-4.88","55,001,206"
"2006-06-30T22:00:00.000Z","104.35","1.57","1.01","43,641,412"
"2006-07-31T22:00:00.000Z","112.57","7.88","7.32","37,095,268"
"2006-08-31T22:00:00.000Z","112.13","-0.40","-0.95","41,457,453"
"2006-09-30T22:00:00.000Z","116.32","3.75","3.19","77,081,453"
"2006-10-31T23:00:00.000Z","113.02","-2.84","-3.40","38,626,341"
"2006-11-30T23:00:00.000Z","114.90","1.66","1.11","40,642,158"
"2006-12-31T23:00:00.000Z","121.06","5.37","4.81","39,711,538"
"2007-01-31T23:00:00.000Z","113.77","-6.02","-6.58","56,434,525"
"2007-02-28T23:00:00.000Z","115.58","1.59","1.04","72,897,585"
"2007-03-31T22:00:00.000Z","139.82","20.97","20.42","81,932,894"
"2007-04-30T22:00:00.000Z","129.36","-7.48","-8.04","80,167,736"
"2007-05-31T22:00:00.000Z","122.87","-5.01","-5.57","63,455,816"
"2007-06-30T22:00:00.000Z","113.86","-7.34","-7.89","66,489,954"
"2007-07-31T22:00:00.000Z","105.76","-7.12","-7.67","119,735,518"
"2007-08-31T22:00:00.000Z","105.14","-0.58","-1.14","95,319,735"
"2007-09-30T22:00:00.000Z","103.51","-1.55","-2.10","88,647,901"
"2007-10-31T23:00:00.000Z","94.33","-8.87","-9.43","118,623,499"
"2007-11-30T23:00:00.000Z","88.39","-6.30","-6.85","69,729,313"
"2007-12-31T23:00:00.000Z","74.33","-15.90","-16.45","209,316,782"
"2008-01-31T23:00:00.000Z","67.39","-9.34","-9.90","230,509,843"
"2008-02-29T23:00:00.000Z","58.78","-12.77","-13.32","179,028,586"
"2008-03-31T22:00:00.000Z","71.24","21.19","20.63","120,286,467"
"2008-04-30T22:00:00.000Z","63.31","-11.12","-11.68","89,778,357"
"2008-05-31T22:00:00.000Z","52.40","-17.23","-17.78","120,952,742"
"2008-06-30T22:00:00.000Z","56.72","8.23","7.68","133,349,469"
"2008-07-31T22:00:00.000Z","62.65","10.46","9.91","98,114,845"
"2008-08-31T22:00:00.000Z","58.76","-6.20","-6.76","168,704,647"
"2008-09-30T22:00:00.000Z","39.97","-31.98","-32.53","190,602,206"
"2008-10-31T23:00:00.000Z","31.64","-20.85","-21.41","108,516,026"
"2008-11-30T23:00:00.000Z","34.12","7.85","7.30","79,941,588"
"2008-12-31T23:00:00.000Z","31.23","-8.47","-9.03","88,317,029"
"2009-01-31T23:00:00.000Z","23.65","-24.26","-24.82","92,960,225"
"2009-02-28T23:00:00.000Z","27.96","18.21","17.66","127,871,606"
"2009-03-31T22:00:00.000Z","37.12","32.76","32.21","82,020,865"
"2009-04-30T22:00:00.000Z","38.86","4.69","4.13","85,667,074"
"2009-05-31T22:00:00.000Z","36.86","-5.16","-5.71","61,479,704"
"2009-06-30T22:00:00.000Z","42.70","15.85","15.30","61,345,299"
"2009-07-31T22:00:00.000Z","53.28","24.77","24.22","62,113,185"
"2009-08-31T22:00:00.000Z","52.13","-2.15","-2.71","72,547,615"
"2009-09-30T22:00:00.000Z","45.38","-12.95","-13.50","148,214,556"
"2009-10-31T23:00:00.000Z","46.89","3.33","2.77","79,376,260"
"2009-11-30T23:00:00.000Z","48.95","4.39","3.84","55,555,421"
"2009-12-31T23:00:00.000Z","42.21","-13.78","-14.33","84,298,372"
"2010-01-31T23:00:00.000Z","40.40","-4.28","-4.83","106,302,956"
"2010-02-28T23:00:00.000Z","46.56","15.26","14.71","88,696,307"
"2010-03-31T22:00:00.000Z","40.40","-13.24","-13.79","99,293,041"
"2010-04-30T22:00:00.000Z","35.05","-13.24","-13.80","167,788,032"
"2010-05-31T22:00:00.000Z","34.30","-2.14","-2.69","134,534,651"
"2010-06-30T22:00:00.000Z","44.24","28.97","28.41","121,356,924"
"2010-07-31T22:00:00.000Z","40.18","-9.17","-9.72","78,025,246"
"2010-08-31T22:00:00.000Z","42.25","5.15","4.60","99,161,726"
"2010-09-30T22:00:00.000Z","43.03","1.83","1.28","73,586,356"
"2010-10-31T23:00:00.000Z","35.71","-17.01","-17.57","100,115,586"
"2010-11-30T23:00:00.000Z","40.22","12.65","12.09","73,517,591"
"2010-12-31T23:00:00.000Z","47.23","17.43","16.88","107,719,042"
"2011-01-31T23:00:00.000Z","50.95","7.88","7.32","101,604,535"
"2011-02-28T23:00:00.000Z","45.85","-10.01","-10.56","120,544,498"
"2011-03-31T22:00:00.000Z","45.16","-1.50","-2.06","82,589,259"
"2011-04-30T22:00:00.000Z","41.24","-8.68","-9.23","107,166,239"
"2011-05-31T22:00:00.000Z","40.92","-0.78","-1.33","107,170,067"
"2011-06-30T22:00:00.000Z","34.74","-15.11","-15.67","131,729,999"
"2011-07-31T22:00:00.000Z","23.36","-32.75","-33.30","218,940,179"
"2011-08-31T22:00:00.000Z","20.00","-14.38","-14.94","230,715,160"
"2011-09-30T22:00:00.000Z","21.10","5.50","4.95","163,148,644"
"2011-10-31T23:00:00.000Z","18.08","-14.31","-14.87","169,926,071"
"2011-11-30T23:00:00.000Z","17.20","-4.84","-5.39","133,888,210"
"2011-12-31T23:00:00.000Z","20.36","18.37","17.81","183,777,471"
"2012-01-31T23:00:00.000Z","24.25","19.08","18.52","185,972,804"
"2012-02-29T23:00:00.000Z","21.97","-9.42","-9.98","153,415,612"
"2012-03-31T22:00:00.000Z","17.86","-18.69","-19.24","196,734,876"
"2012-04-30T22:00:00.000Z","16.06","-10.08","-10.63","185,223,382"
"2012-05-31T22:00:00.000Z","18.41","14.63","14.08","189,109,199"
"2012-06-30T22:00:00.000Z","18.01","-2.17","-2.73","174,034,259"
"2012-07-31T22:00:00.000Z","21.05","16.88","16.33","143,579,939"
"2012-08-31T22:00:00.000Z","22.10","4.99","4.43","149,745,447"
"2012-09-30T22:00:00.000Z","24.52","10.97","10.42","126,296,430"
"2012-10-31T23:00:00.000Z","27.81","13.37","12.82","93,152,321"
"2012-11-30T23:00:00.000Z","28.34","1.92","1.37","69,338,961"
"2012-12-31T23:00:00.000Z","33.28","17.41","16.86","106,348,869"
"2013-01-31T23:00:00.000Z","29.41","-11.62","-12.17","113,343,908"
"2013-02-28T23:00:00.000Z","25.63","-12.85","-13.41","124,443,076"
"2013-03-31T22:00:00.000Z","27.58","7.61","7.05","125,052,086"
"2013-04-30T22:00:00.000Z","30.86","11.89","11.34","110,856,617"
"2013-05-31T22:00:00.000Z","26.40","-14.45","-15.01","110,080,626"
"2013-06-30T22:00:00.000Z","30.22","14.45","13.90","113,328,191"
"2013-07-31T22:00:00.000Z","33.12","9.60","9.04","122,713,988"
"2013-08-31T22:00:00.000Z","36.83","11.22","10.66","98,931,138"
"2013-09-30T22:00:00.000Z","41.82","13.55","13.00","91,338,421"
"2013-10-31T23:00:00.000Z","42.33","1.23","0.68","85,263,178"
"2013-11-30T23:00:00.000Z","42.22","-0.27","-0.83","66,958,818"
"2013-12-31T23:00:00.000Z","42.08","-0.33","-0.89","104,252,040"
"2014-01-31T23:00:00.000Z","48.38","14.96","14.41","92,831,906"
"2014-02-28T23:00:00.000Z","44.71","-7.59","-8.14","100,793,333"
"2014-03-31T22:00:00.000Z","44.80","0.21","-0.34","88,484,262"
"2014-04-30T22:00:00.000Z","42.26","-5.66","-6.21","95,793,471"
"2014-05-31T22:00:00.000Z","38.26","-9.49","-10.04","91,539,823"
"2014-06-30T22:00:00.000Z","37.56","-1.83","-2.38","108,362,613"
"2014-07-31T22:00:00.000Z","38.56","2.66","2.11","92,786,640"
"2014-08-31T22:00:00.000Z","40.42","4.84","4.28","100,886,806"
"2014-09-30T22:00:00.000Z","38.42","-4.96","-5.51","153,009,379"
"2014-10-31T23:00:00.000Z","39.89","3.84","3.29","104,079,785"
"2014-11-30T23:00:00.000Z","34.99","-12.28","-12.84","110,584,414"
"2014-12-31T23:00:00.000Z","35.83","2.41","1.86","140,567,943"
"2015-01-31T23:00:00.000Z","41.31","15.29","14.74","106,507,628"
"2015-02-28T23:00:00.000Z","44.97","8.85","8.29","101,559,095"
"2015-03-31T22:00:00.000Z","44.71","-0.59","-1.14","80,366,885"
"2015-04-30T22:00:00.000Z","42.53","-4.88","-5.43","82,422,974"
"2015-05-31T22:00:00.000Z","41.87","-1.54","-2.09","116,321,324"
"2015-06-30T22:00:00.000Z","44.80","7.00","6.44","94,422,022"
"2015-07-31T22:00:00.000Z","43.46","-3.00","-3.56","96,210,302"
"2015-08-31T22:00:00.000Z","39.85","-8.30","-8.85","97,122,555"
"2015-09-30T22:00:00.000Z","42.31","6.17","5.62","70,519,646"
"2015-10-31T23:00:00.000Z","45.18","6.78","6.23","63,911,370"
"2015-11-30T23:00:00.000Z","42.57","-5.78","-6.33","68,997,497"
"2015-12-31T23:00:00.000Z","35.18","-17.36","-17.91","99,558,736"
"2016-01-31T23:00:00.000Z","32.42","-7.83","-8.38","142,138,373"
"2016-02-29T23:00:00.000Z","32.48","0.17","-0.38","116,090,554"
"2016-03-31T22:00:00.000Z","34.25","5.45","4.90","84,969,147"
"2016-04-30T22:00:00.000Z","36.99","8.00","7.45","91,945,877"
"2016-05-31T22:00:00.000Z","28.21","-23.74","-24.29","150,993,228"
"2016-06-30T22:00:00.000Z","30.56","8.31","7.76","91,823,985"
"2016-07-31T22:00:00.000Z","32.65","6.84","6.29","86,615,626"
"2016-08-31T22:00:00.000Z","30.78","-5.71","-6.27","102,017,520"
"2016-09-30T22:00:00.000Z","35.56","15.53","14.98","86,651,149"
"2016-10-31T23:00:00.000Z","40.58","14.13","13.58","106,626,101"
"2016-11-30T23:00:00.000Z","46.74","15.18","14.62","91,023,330"
"2016-12-31T23:00:00.000Z","45.26","-3.19","-3.74","74,555,506"
"2017-01-31T23:00:00.000Z","41.91","-7.39","-7.94","78,584,639"
"2017-02-28T23:00:00.000Z","47.55","13.46","12.90","90,244,233"
"2017-03-31T22:00:00.000Z","50.21","5.59","5.04","98,415,416"
"2017-04-30T22:00:00.000Z","46.67","-7.05","-7.60","97,341,485"
"2017-05-31T22:00:00.000Z","47.11","0.94","0.39","91,611,615"
"2017-06-30T22:00:00.000Z","49.60","5.29","4.73","70,174,763"
"2017-07-31T22:00:00.000Z","47.03","-5.18","-5.73","75,846,476"
"2017-08-31T22:00:00.000Z","49.53","5.33","4.77","66,111,531"
"2017-09-30T22:00:00.000Z","47.80","-3.50","-4.06","70,363,790"
"2017-10-31T23:00:00.000Z","42.31","-11.49","-12.04","96,741,431"
"2017-11-30T23:00:00.000Z","43.05","1.75","1.20","73,417,786"
"2017-12-31T23:00:00.000Z","46.85","8.84","8.29","81,998,540"
"2018-01-31T23:00:00.000Z","47.12","0.57","0.01","89,095,229"
"2018-02-28T23:00:00.000Z","44.16","-6.28","-6.84","79,094,877"
"2018-03-31T22:00:00.000Z","45.46","2.93","2.38","55,449,720"
"2018-04-30T22:00:00.000Z","36.85","-18.92","-19.47","112,014,479"
"2018-05-31T22:00:00.000Z","36.12","-2.01","-2.56","104,282,838"
"2018-06-30T22:00:00.000Z","38.11","5.52","4.97","77,646,368"
"2018-07-31T22:00:00.000Z","35.24","-7.53","-8.08","80,926,689"
"2018-08-31T22:00:00.000Z","36.97","4.91","4.36","92,395,341"
"2018-09-30T22:00:00.000Z","32.48","-12.14","-12.70","102,053,511"
"2018-10-31T23:00:00.000Z","32.46","-0.06","-0.62","77,522,687"
"2018-11-30T23:00:00.000Z","27.82","-14.29","-14.85","89,389,542"
"2018-12-31T23:00:00.000Z","27.14","-2.44","-3.00","107,880,228"
"2019-01-31T23:00:00.000Z","27.00","-0.52","-1.07","118,061,672"
"2019-02-28T23:00:00.000Z","25.77","-4.54","-5.09","115,737,186"
"2019-03-31T22:00:00.000Z","28.22","9.49","8.93","88,319,134"
"2019-04-30T22:00:00.000Z","22.46","-20.41","-20.96","127,512,451"
"2019-05-31T22:00:00.000Z","22.22","-1.07","-1.62","120,967,413"
"2019-06-30T22:00:00.000Z","22.20","-0.07","-0.62","91,812,233"
"2019-07-31T22:00:00.000Z","23.06","3.83","3.27","111,189,076"
"2019-08-31T22:00:00.000Z","25.14","9.04","8.49","103,446,605"
"2019-09-30T22:00:00.000Z","25.45","1.23","0.68","87,867,727"
"2019-10-31T23:00:00.000Z","28.56","12.22","11.67","89,754,900"
"2019-11-30T23:00:00.000Z","31.01","8.60","8.04","71,472,313"
"2019-12-31T23:00:00.000Z","29.23","-5.77","-6.32","71,478,502"
"2020-01-31T23:00:00.000Z","25.59","-12.44","-12.99","98,495,498"
"2020-02-29T23:00:00.000Z","15.35","-40.02","-40.58","244,408,039"
"2020-03-31T22:00:00.000Z","14.26","-7.09","-7.64","136,249,603"
"2020-04-30T22:00:00.000Z","13.23","-7.21","-7.76","155,897,939"
"2020-05-31T22:00:00.000Z","14.80","11.85","11.30","221,258,145"
"2020-06-30T22:00:00.000Z","12.98","-12.27","-12.82","132,879,993"
"2020-07-31T22:00:00.000Z","13.58","4.61","4.05","111,471,011"
"2020-08-31T22:00:00.000Z","11.32","-16.67","-17.22","178,639,192"
"2020-09-30T22:00:00.000Z","11.64","2.85","2.29","132,490,254"
