"Date","Price","Open","High","Low","Vol.","Change %"
"03/16/2025","117.52","122.79","122.79","114.57","828.61M","-3.41%"
"03/09/2025","121.67","109.90","121.88","104.77","1.62B","7.97%"
"03/02/2025","112.69","123.51","123.70","107.56","1.76B","-9.79%"
"02/23/2025","124.92","136.56","138.59","116.40","1.68B","-7.07%"
"02/16/2025","134.43","141.27","143.44","134.03","758.83M","-3.18%"
"02/09/2025","138.85","130.09","139.25","129.08","949.08M","6.94%"
"02/02/2025","129.84","114.75","130.37","113.01","1.37B","8.14%"
"01/26/2025","120.07","124.80","129.00","116.25","2.65B","-15.81%"
"01/19/2025","142.62","139.16","148.97","137.09","825.97M","3.57%"
"01/12/2025","137.71","129.99","138.75","129.51","996.04M","1.32%"
"01/05/2025","135.91","148.59","153.13","134.22","1.05B","-5.93%"
"12/29/2024","144.47","134.83","144.90","133.83","750.96M","5.44%"
"12/22/2024","137.01","136.28","141.90","134.71","568.31M","1.71%"
"12/15/2024","134.70","134.18","136.70","126.86","1.29B","0.34%"
"12/08/2024","134.25","138.97","141.82","132.54","974.96M","-5.75%"
"12/01/2024","142.44","138.83","146.54","137.82","928.45M","3.03%"
"11/24/2024","138.25","141.99","142.05","131.80","903.46M","-2.61%"
"11/17/2024","141.95","139.50","152.89","137.15","1.40B","-0.02%"
"11/10/2024","141.98","148.68","149.65","140.08","1.02B","-3.83%"
"11/03/2024","147.63","137.21","149.77","135.57","973.10M","9.03%"
"10/27/2024","135.40","143.00","143.14","132.11","987.77M","-4.34%"
"10/20/2024","141.54","138.13","144.42","137.46","1.15B","2.57%"
"10/13/2024","138.00","136.47","140.89","128.74","1.36B","2.37%"
"10/06/2024","134.80","124.99","135.78","124.95","1.29B","7.91%"
"09/29/2024","124.92","118.31","125.04","115.14","1.27B","2.90%"
"09/22/2024","121.40","116.55","127.67","114.86","1.42B","4.66%"
"09/15/2024","116.00","116.79","119.66","113.22","1.47B","-2.60%"
"09/08/2024","119.10","104.88","120.79","103.69","1.59B","15.82%"
"09/01/2024","102.83","116.01","116.21","100.95","1.57B","-13.86%"
"08/25/2024","119.37","129.57","131.26","116.71","1.87B","-7.73%"
"08/18/2024","129.37","124.28","130.75","123.10","1.58B","3.84%"
"08/11/2024","124.58","106.32","125.00","106.26","1.60B","18.93%"
